class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
a,14,6,16,6,6,32,6,16,16,11,18,9,11,40,9,40,14,6,16,6,6,32,6,16,16,11,18,9,11,40,9,40,14,6,16,6,6,32,6,16,16,11,18,9,11,40,9,40,14,6,16,6,6,32,6,16,16,11,18,9,11,40,9,40,13,8,14,6,9,21,30,25,11,23,11,7,5,17,6,50,16,8,13,23,11,23,7,21,11,9,11,5,19,18,8,53,15,9,13,7,10,21,28,26,10,18,13,7,5,19,7,48,15,9,16,22,8,23,7,23,12,6,10,5,21,18,6,55,23,10,5,6,7,27,4,22,16,12,19,11,9,30,8,47,23,8,5,5,8,27,4,22,16,8,20,10,19,30,9,42,20,10,7,4,8,21,7,18,20,21,16,7,8,29,8,52,23,6,8,8,6,24,9,19,22,10,18,7,7,30,6,53,16,8,18,9,8,32,9,40,12,5,18,10,5,16,10,40,16,8,18,9,8,32,9,40,12,5,18,10,5,16,10,40,16,8,18,9,8,32,9,40,12,5,18,10,5,16,10,40,16,8,18,9,8,32,9,40,12,5,18,10,5,16,10,40
a,8,17,6,16,17,16,12,18,8,22,10,25,15,21,20,25,8,12,6,9,22,18,20,17,8,12,10,15,25,20,29,25,8,22,6,20,12,18,9,17,8,25,10,29,12,20,15,25,8,17,6,12,17,16,16,18,8,15,10,20,22,21,25,25,7,16,12,19,11,10,36,21,6,17,8,22,9,14,17,31,5,6,13,15,14,14,51,23,7,25,5,8,10,8,12,40,5,19,8,26,8,16,32,18,7,20,8,19,7,10,13,40,10,8,12,15,9,9,50,21,8,26,4,8,11,7,10,48,10,19,4,7,19,13,12,10,9,42,8,18,14,18,14,39,14,10,3,3,18,13,22,10,17,19,12,9,23,23,19,41,14,21,5,8,13,16,8,11,10,40,11,22,14,18,11,34,10,18,3,12,18,13,11,10,10,31,8,16,25,22,17,32,4,10,10,25,10,12,19,24,8,20,10,25,15,20,20,24,4,6,10,15,15,14,29,23,8,12,10,15,22,19,30,24,4,15,10,29,6,14,15,23,8,22,10,30,12,19,15,24,4,10,10,19,10,12,25,24,8,15,10,20,20,20,25,24
a,12,18,3,8,9,25,4,15,12,16,21,22,8,28,11,44,21,13,7,6,9,21,4,15,20,12,32,17,8,24,11,36,21,9,7,4,13,21,6,15,20,8,32,11,12,24,17,36,12,9,3,4,18,25,8,15,12,8,21,11,16,28,22,44,18,22,6,9,10,34,23,7,8,18,15,21,3,17,6,39,25,12,11,9,8,26,36,5,9,28,18,12,4,10,6,37,28,10,13,10,14,22,31,5,11,25,18,6,6,8,9,40,14,9,8,7,15,28,33,17,8,20,9,9,12,7,11,49,14,22,9,3,12,32,16,17,7,29,11,14,5,9,10,46,27,14,17,1,11,29,18,9,14,17,22,9,5,10,8,45,29,10,17,5,16,33,11,15,10,13,22,8,7,8,16,36,18,9,9,7,18,26,29,10,7,29,14,9,8,9,15,39,9,12,12,16,6,22,8,28,6,10,21,26,5,14,13,48,15,9,20,12,6,21,8,24,11,7,34,20,5,12,13,39,15,6,20,8,9,21,12,24,11,5,34,13,7,12,20,39,9,6,12,8,12,22,16,28,6,5,21,13,10,14,26,48
a,0,7,0,1,7,98,1,14,0,1,0,7,1,14,7,98,0,7,0,1,7,98,1,14,0,1,0,7,1,14,7,98,0,7,0,1,7,98,1,14,0,1,0,7,1,14,7,98,0,7,0,1,7,98,1,14,0,1,0,7,1,14,7,98,0,8,0,2,7,54,22,20,3,5,0,7,1,22,3,102,2,6,4,4,5,48,15,24,1,20,0,4,13,14,3,93,2,9,3,22,7,38,24,7,8,12,0,2,3,9,3,107,3,6,7,18,7,29,13,25,2,13,1,3,16,10,5,98,1,8,3,4,9,41,18,12,0,31,1,5,4,21,6,92,0,5,0,2,5,70,2,28,0,3,0,6,3,42,6,84,1,8,0,3,7,44,4,13,0,19,0,11,22,27,9,88,1,6,2,2,7,51,1,18,5,12,0,8,11,31,6,95,0,7,0,1,7,98,1,14,0,1,0,7,1,14,7,98,0,7,0,1,7,98,1,14,0,1,0,7,1,14,7,98,0,7,0,1,7,98,1,14,0,1,0,7,1,14,7,98,0,7,0,1,7,98,1,14,0,1,0,7,1,14,7,98
a,12,18,2,3,18,48,3,8,6,9,12,18,9,16,18,56,12,18,2,3,18,48,3,8,6,9,12,18,9,16,18,56,12,18,2,3,18,48,3,8,6,9,12,18,9,16,18,56,12,18,2,3,18,48,3,8,6,9,12,18,9,16,18,56,11,15,5,8,15,29,20,20,7,11,7,12,11,30,11,44,9,15,4,5,15,24,42,10,9,34,3,6,8,14,7,51,9,18,6,8,14,23,30,14,7,31,3,10,8,15,8,52,8,14,6,6,13,16,38,9,14,35,2,4,9,20,3,59,9,12,10,7,14,25,25,18,7,30,8,10,4,15,11,51,11,12,8,7,14,28,21,20,8,16,10,12,6,17,12,54,10,12,5,11,13,30,16,24,5,20,7,14,10,17,17,45,12,12,8,14,10,24,21,19,10,29,10,13,9,14,10,41,12,18,6,9,18,48,9,16,2,3,12,18,3,16,18,48,12,18,6,9,18,48,9,16,2,3,12,18,3,16,18,48,12,18,6,9,18,48,9,16,2,3,12,18,3,16,18,48,12,18,6,9,18,48,9,16,2,3,12,18,3,16,18,48
a,3,12,3,18,10,11,14,27,5,26,5,24,22,34,18,24,0,12,0,18,12,14,18,24,0,28,0,22,28,34,22,24,0,12,0,18,12,14,18,24,0,28,0,22,28,34,22,24,3,10,3,14,12,11,18,27,5,22,5,18,26,34,24,24,1,7,5,26,7,6,28,32,2,21,5,26,15,27,20,28,2,9,3,22,7,9,44,22,2,35,0,15,16,21,15,34,3,9,4,23,9,6,50,26,7,25,2,16,11,15,14,36,8,7,7,17,9,3,48,21,8,33,6,10,8,16,10,45,5,9,5,13,6,4,32,20,8,43,6,16,14,17,15,43,1,6,3,17,7,9,30,32,2,20,0,21,23,24,26,35,6,8,3,12,9,7,25,21,4,46,1,19,15,16,19,45,3,6,6,18,7,4,28,20,3,33,3,19,28,18,22,38,3,9,5,28,8,7,22,34,3,20,5,23,16,29,18,26,0,9,0,28,9,10,28,34,0,21,0,22,21,28,22,24,0,9,0,28,9,10,28,34,0,21,0,22,21,28,22,24,3,8,5,22,9,7,28,34,3,16,5,18,20,29,23,26
a,26,6,30,10,7,18,9,30,13,6,27,10,7,20,9,28,26,7,30,9,6,18,10,30,13,7,27,9,6,20,10,28,26,6,30,10,7,18,9,30,13,6,27,10,7,20,9,28,26,7,30,9,6,18,10,30,13,7,27,9,6,20,10,28,27,9,22,8,9,21,20,20,18,7,23,7,6,21,7,31,27,7,19,7,8,21,31,13,18,27,14,7,4,20,5,28,27,16,16,11,9,15,39,8,10,27,16,11,3,7,4,37,22,7,23,10,9,19,23,14,17,23,12,4,14,17,4,38,22,10,19,7,11,22,15,10,23,29,18,6,6,16,8,34,23,8,19,5,9,22,26,11,22,15,16,6,7,17,7,43,27,11,17,6,10,22,7,11,22,27,21,6,7,18,8,36,23,9,17,6,10,19,21,10,29,22,16,6,12,17,8,31,28,9,14,5,11,28,4,14,30,10,24,8,8,30,9,24,28,11,14,4,9,28,5,14,30,8,24,9,10,30,8,24,28,9,14,5,11,28,4,14,30,10,24,8,8,30,9,24,28,11,14,4,9,28,5,14,30,8,24,9,10,30,8,24
a,24,9,12,4,9,28,4,10,24,9,36,10,9,26,10,32,24,9,12,4,9,28,4,10,24,9,36,10,9,26,10,32,24,9,12,4,9,28,4,10,24,9,36,10,9,26,10,32,24,9,12,4,9,28,4,10,24,9,36,10,9,26,10,32,25,11,21,8,7,24,20,19,17,7,27,10,4,15,6,35,23,10,20,4,9,20,38,14,12,28,16,6,2,6,2,46,24,7,19,8,9,23,26,15,16,17,24,4,5,13,6,40,27,12,17,4,9,22,34,16,10,25,18,7,1,6,4,44,25,12,14,0,13,23,17,7,17,30,22,6,8,14,10,38,30,11,7,4,10,22,27,3,16,32,20,10,6,10,7,41,26,9,15,4,11,27,10,10,20,22,26,6,8,18,9,35,20,13,15,4,13,18,22,6,20,31,20,10,10,13,12,29,24,9,24,8,9,26,8,24,12,5,36,10,5,16,10,30,24,9,24,8,9,26,8,24,12,5,36,10,5,16,10,30,24,9,24,8,9,26,8,24,12,5,36,10,5,16,10,30,24,9,24,8,9,26,8,24,12,5,36,10,5,16,10,30
a,10,19,4,10,19,22,10,20,8,15,10,20,15,24,20,30,10,19,4,10,19,22,10,20,8,15,10,20,15,24,20,30,10,19,4,10,19,22,10,20,8,15,10,20,15,24,20,30,10,19,4,10,19,22,10,20,8,15,10,20,15,24,20,30,9,19,5,10,19,21,12,21,8,15,9,20,15,24,20,29,12,19,7,4,11,15,46,8,9,30,5,14,13,19,8,36,13,18,6,6,19,11,42,11,11,39,6,8,6,11,9,40,11,19,2,10,16,16,32,13,10,31,7,10,11,19,8,41,10,18,6,5,20,16,33,13,11,38,7,11,7,14,11,36,15,16,6,8,17,14,27,14,12,37,8,13,8,13,11,37,10,15,9,9,20,18,16,20,8,28,5,16,13,20,16,33,11,18,6,11,20,16,18,17,7,29,9,18,15,14,20,27,10,19,4,10,19,22,10,20,8,15,10,20,15,24,20,30,10,19,4,10,19,22,10,20,8,15,10,20,15,24,20,30,10,19,4,10,19,22,10,20,8,15,10,20,15,24,20,30,10,19,4,10,19,22,10,20,8,15,10,20,15,24,20,30
a,17,23,15,17,10,21,7,20,12,15,20,25,5,14,10,25,12,14,12,11,28,19,22,13,9,8,15,15,16,12,30,20,12,28,12,22,14,19,11,13,9,16,15,30,8,12,15,20,17,10,15,7,23,21,17,20,12,5,20,10,15,14,25,25,18,21,11,13,11,21,15,11,12,16,19,23,8,17,10,30,11,11,12,12,25,10,33,10,11,25,10,8,18,7,23,30,15,25,11,12,10,12,33,10,9,32,10,23,7,11,8,28,15,8,10,7,16,13,43,6,17,33,10,3,10,13,8,44,15,24,13,13,11,17,17,9,13,36,13,17,4,10,6,38,15,10,12,4,25,8,42,4,12,34,10,6,10,6,20,38,13,28,11,14,14,17,14,11,9,25,14,25,10,13,15,23,16,11,12,1,26,15,23,14,11,10,18,9,19,14,28,29,16,20,12,15,9,21,5,14,16,20,20,25,8,20,10,25,12,14,9,7,26,19,16,9,12,12,15,15,24,16,30,20,12,26,9,16,14,19,7,9,12,24,15,30,12,16,15,20,16,9,12,5,20,21,15,14,16,8,20,10,20,20,25,25
