class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
a,23,15,29,29,13,8,20,13,19,19,3,4,15,12,11,23,11,12,38,25,16,9,25,16,19,15,5,3,19,12,5,26,20,23,18,21,19,14,17,14,15,25,12,10,16,10,10,12,28,14,18,17,19,5,21,14,24,21,11,3,15,18,11,17
a,25,16,35,23,20,8,32,11,20,16,3,5,20,8,3,11,29,21,33,21,21,9,17,8,20,20,2,1,16,8,8,22,28,16,20,16,23,10,20,8,28,28,6,2,21,11,9,10,28,20,20,20,16,8,16,8,38,26,5,3,15,19,5,9
a,50,22,21,12,24,6,13,17,18,14,11,6,11,6,14,11,52,16,30,20,16,6,25,11,14,10,0,8,11,6,5,26,39,25,21,12,21,9,15,8,23,31,9,5,12,6,8,12,45,22,19,12,14,7,14,6,31,22,5,8,15,13,6,17
a,11,39,18,13,38,0,23,10,0,30,0,22,32,0,16,4,13,39,20,9,42,0,21,12,1,28,4,20,27,0,13,7,6,45,0,24,49,0,28,0,0,28,0,25,18,3,30,0,11,41,0,25,41,0,24,0,8,27,0,25,19,7,22,6
a,22,20,25,14,21,13,24,16,7,20,5,10,19,14,5,21,23,19,27,18,22,13,22,16,7,19,4,6,17,14,6,23,11,22,8,18,19,10,21,17,13,35,5,11,24,14,15,13,15,12,8,20,10,10,21,16,27,35,4,4,27,22,6,19
a,8,25,17,21,27,33,23,24,2,8,4,8,8,16,6,26,4,29,16,22,31,32,17,22,1,9,7,6,9,16,10,25,0,21,0,8,18,33,8,16,0,45,0,6,33,37,9,22,6,18,0,8,18,30,8,16,19,34,3,6,31,30,4,25
a,43,15,30,10,13,17,7,12,29,7,20,5,6,13,10,19,40,12,35,18,13,15,11,11,29,7,14,3,6,12,9,21,24,8,31,8,6,11,9,18,36,27,29,3,11,16,6,13,25,7,30,7,6,8,7,18,42,23,21,5,21,19,4,13
a,40,16,28,14,16,10,14,24,19,11,12,7,10,12,13,10,40,15,28,20,16,9,16,20,18,9,8,8,9,12,10,18,22,15,23,11,13,16,12,15,24,27,19,8,12,13,11,15,23,14,21,11,12,11,11,16,29,23,16,9,18,17,9,16
a,5,17,15,16,20,34,20,19,3,22,1,5,19,33,7,20,5,21,15,21,26,28,12,22,0,19,1,4,19,37,13,13,0,24,0,17,20,35,20,38,0,26,0,10,12,19,12,23,6,22,0,15,23,28,14,34,4,22,0,10,28,19,9,22
a,39,13,30,17,30,15,28,17,12,4,14,3,10,6,11,7,40,29,34,22,12,15,20,17,12,10,12,11,4,6,4,8,38,15,12,4,31,17,10,6,26,22,14,7,19,10,15,10,38,33,12,10,13,18,4,6,27,23,18,13,14,9,6,12
