class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
a,38,6,4,1,6,0,1,0,6,1,0,0,1,0,0,0,45,0,4,0,6,0,1,0,7,0,0,0,1,0,0,0,45,6,4,1,0,0,0,0,7,1,0,0,0,0,0,0,38,6,4,1,6,0,1,0,6,1,0,0,1,0,0,0,40,3,5,1,5,0,0,0,0,0,0,0,0,0,0,10,41,1,7,0,3,0,1,0,0,0,0,0,0,0,0,11,44,5,4,0,0,0,0,0,0,0,0,0,0,0,0,11,37,5,6,0,4,0,0,0,0,0,0,0,0,0,0,12,44,6,0,0,5,0,0,0,6,0,0,0,0,0,0,3,49,0,0,0,7,0,0,0,7,0,0,0,1,0,0,0,48,2,0,0,2,0,0,0,5,0,0,0,0,0,0,7,44,4,0,0,2,0,0,0,7,0,0,0,1,0,0,6,39,6,6,1,6,0,1,0,3,1,0,0,1,0,0,0,46,0,6,0,6,0,1,0,4,0,0,0,1,0,0,0,46,6,6,1,0,0,0,0,4,1,0,0,0,0,0,0,39,6,6,1,6,0,1,0,3,1,0,0,1,0,0,0
a,49,7,0,0,0,0,0,0,7,1,0,0,0,0,0,0,49,0,0,0,7,0,0,0,7,0,0,0,1,0,0,0,49,7,0,0,0,0,0,0,7,1,0,0,0,0,0,0,49,0,0,0,7,0,0,0,7,0,0,0,1,0,0,0,49,5,6,0,1,0,1,0,0,0,0,0,0,0,0,2,44,0,7,1,5,0,0,0,0,0,0,0,0,0,0,7,43,4,5,1,1,0,0,0,0,0,0,0,0,0,0,10,40,0,7,0,5,0,1,0,0,0,0,0,0,0,0,11,45,6,0,0,0,0,0,0,6,1,0,0,0,0,0,6,49,0,0,0,7,0,0,0,7,0,0,0,1,0,0,0,48,7,0,0,0,0,0,0,5,1,0,0,0,0,0,3,44,3,0,0,4,0,0,0,7,1,0,0,0,0,0,5,49,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,49,0,7,0,7,0,1,0,0,0,0,0,0,0,0,0,49,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,49,0,7,0,7,0,1,0,0,0,0,0,0,0,0,0
a,39,6,6,1,6,0,1,0,3,1,0,0,1,0,0,0,39,6,6,1,6,0,1,0,3,1,0,0,1,0,0,0,39,6,6,1,6,0,1,0,3,1,0,0,1,0,0,0,39,6,6,1,6,0,1,0,3,1,0,0,1,0,0,0,45,2,5,0,6,0,1,0,1,1,0,0,0,0,0,3,40,3,5,1,1,0,1,0,4,1,0,0,1,0,0,7,42,2,4,0,3,0,1,0,1,1,0,0,0,0,0,10,34,3,7,0,3,0,1,0,3,1,0,0,0,0,0,12,42,4,1,1,1,0,1,0,4,1,0,0,1,0,0,8,39,6,6,1,6,0,1,0,3,1,0,0,1,0,0,0,38,3,1,1,6,0,1,0,3,1,0,0,1,0,0,9,41,6,4,0,2,0,1,0,4,1,0,0,0,0,0,5,39,6,5,1,6,0,1,0,4,1,0,0,1,0,0,0,39,6,5,1,6,0,1,0,4,1,0,0,1,0,0,0,39,6,5,1,6,0,1,0,4,1,0,0,1,0,0,0,39,6,5,1,6,0,1,0,4,1,0,0,1,0,0,0
a,49,6,5,1,0,0,0,0,2,1,0,0,0,0,0,0,49,0,5,0,6,0,1,0,2,0,0,0,1,0,0,0,49,6,5,1,0,0,0,0,2,1,0,0,0,0,0,0,49,0,5,0,6,0,1,0,2,0,0,0,1,0,0,0,48,4,6,0,2,0,1,0,2,1,0,0,0,0,0,0,44,3,3,0,4,0,1,0,5,0,0,0,0,0,0,4,48,4,5,1,3,0,0,0,3,0,0,0,0,0,0,0,45,2,3,0,5,0,0,0,6,0,0,0,0,0,0,3,47,7,2,1,0,0,0,0,7,0,0,0,0,0,0,0,43,0,6,0,7,0,0,0,7,0,0,0,1,0,0,0,45,7,3,0,0,0,0,0,7,1,0,0,0,0,0,1,46,0,2,0,4,0,0,0,7,0,0,0,0,0,0,5,48,6,3,1,0,0,0,0,5,1,0,0,0,0,0,0,48,0,3,0,6,0,1,0,5,0,0,0,1,0,0,0,48,6,3,1,0,0,0,0,5,1,0,0,0,0,0,0,48,0,3,0,6,0,1,0,5,0,0,0,1,0,0,0
a,47,6,7,1,0,0,0,0,2,1,0,0,0,0,0,0,47,0,7,0,6,0,1,0,2,0,0,0,1,0,0,0,47,6,7,1,0,0,0,0,2,1,0,0,0,0,0,0,47,0,7,0,6,0,1,0,2,0,0,0,1,0,0,0,47,2,4,0,4,0,0,0,2,1,0,0,0,0,0,4,44,3,1,0,2,0,1,0,6,0,0,0,0,0,0,7,45,3,6,0,4,0,0,0,1,0,0,0,0,0,0,5,43,2,5,0,2,0,0,0,2,0,0,0,0,0,0,10,47,6,2,1,0,0,0,0,4,0,0,0,0,0,0,4,49,0,7,0,7,0,0,0,0,0,0,0,1,0,0,0,46,5,2,0,1,0,0,0,5,0,0,0,0,0,0,5,46,0,2,0,5,0,0,0,2,0,0,0,0,0,0,9,44,6,5,1,0,0,0,0,7,1,0,0,0,0,0,0,44,0,5,0,6,0,1,0,7,0,0,0,1,0,0,0,44,6,5,1,0,0,0,0,7,1,0,0,0,0,0,0,44,0,5,0,6,0,1,0,7,0,0,0,1,0,0,0
a,42,7,2,1,7,0,1,0,4,0,0,0,0,0,0,0,42,7,2,1,7,0,1,0,4,0,0,0,0,0,0,0,42,7,2,1,7,0,1,0,4,0,0,0,0,0,0,0,42,7,2,1,7,0,1,0,4,0,0,0,0,0,0,0,41,5,2,0,7,0,0,0,3,1,0,0,1,0,0,4,43,4,2,0,4,0,0,0,4,1,0,0,0,0,0,6,46,3,2,1,4,0,0,0,3,0,0,0,1,0,0,4,46,0,1,0,2,0,0,0,5,1,0,0,0,0,0,9,47,4,4,1,0,0,0,0,3,0,0,0,0,0,0,5,45,4,5,1,7,0,0,0,1,0,0,0,1,0,0,0,43,5,4,0,0,0,0,0,3,1,0,0,0,0,0,8,42,1,2,1,6,0,0,0,4,0,0,0,0,0,0,8,38,7,6,1,7,0,1,0,4,0,0,0,0,0,0,0,38,7,6,1,7,0,1,0,4,0,0,0,0,0,0,0,38,7,6,1,7,0,1,0,4,0,0,0,0,0,0,0,38,7,6,1,7,0,1,0,4,0,0,0,0,0,0,0
a,40,7,2,0,7,0,0,0,6,1,0,0,1,0,0,0,40,7,2,0,7,0,0,0,6,1,0,0,1,0,0,0,40,7,2,0,7,0,0,0,6,1,0,0,1,0,0,0,40,7,2,0,7,0,0,0,6,1,0,0,1,0,0,0,44,4,6,1,7,0,1,0,0,0,0,0,0,0,0,1,46,3,6,1,5,0,1,0,0,0,0,0,0,0,0,2,44,5,7,1,4,0,0,0,0,0,0,0,0,0,0,3,44,4,7,0,2,0,0,0,0,0,0,0,0,0,0,7,48,5,0,0,1,0,0,0,6,1,0,0,1,0,0,2,42,7,0,0,7,0,0,0,6,1,0,0,1,0,0,0,42,5,0,0,7,0,0,0,6,0,0,0,1,0,0,3,44,5,0,0,5,0,0,0,7,0,0,0,0,0,0,3,38,6,6,1,6,0,1,0,4,1,0,0,1,0,0,0,38,6,6,1,6,0,1,0,4,1,0,0,1,0,0,0,38,6,6,1,6,0,1,0,4,1,0,0,1,0,0,0,38,6,6,1,6,0,1,0,4,1,0,0,1,0,0,0
a,49,7,0,0,0,0,0,0,7,1,0,0,0,0,0,0,49,0,0,0,7,0,0,0,7,0,0,0,1,0,0,0,49,7,0,0,0,0,0,0,7,1,0,0,0,0,0,0,49,0,0,0,7,0,0,0,7,0,0,0,1,0,0,0,46,3,7,1,3,0,0,0,3,1,0,0,0,0,0,0,41,2,7,0,4,0,1,0,7,0,0,0,1,0,0,1,44,4,6,1,2,0,0,0,3,1,0,0,0,0,0,3,45,2,7,0,3,0,0,0,3,0,0,0,0,0,0,4,45,4,4,0,0,0,0,0,7,1,0,0,0,0,0,3,42,0,7,0,6,0,1,0,7,0,0,0,1,0,0,0,43,6,4,1,0,0,0,0,6,1,0,0,0,0,0,3,46,0,3,0,6,0,0,0,6,0,0,0,0,0,0,3,49,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,49,0,7,0,7,0,1,0,0,0,0,0,0,0,0,0,49,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,49,0,7,0,7,0,1,0,0,0,0,0,0,0,0,0
a,42,7,6,1,7,0,1,0,0,0,0,0,0,0,0,0,42,7,6,1,7,0,1,0,0,0,0,0,0,0,0,0,42,7,6,1,7,0,1,0,0,0,0,0,0,0,0,0,42,7,6,1,7,0,1,0,0,0,0,0,0,0,0,0,45,4,4,0,7,0,0,0,2,1,0,0,1,0,0,0,43,4,0,0,5,0,0,0,6,1,0,0,1,0,0,4,47,5,3,1,4,0,0,0,2,0,0,0,1,0,0,1,45,3,1,0,5,0,0,0,5,1,0,0,0,0,0,4,48,6,4,0,1,0,1,0,2,1,0,0,0,0,0,1,42,7,6,1,7,0,1,0,0,0,0,0,0,0,0,0,42,7,3,1,7,0,1,0,3,0,0,0,0,0,0,0,44,4,3,0,7,0,0,0,4,0,0,0,1,0,0,1,42,7,0,0,7,0,0,0,6,1,0,0,1,0,0,0,42,7,0,0,7,0,0,0,6,1,0,0,1,0,0,0,42,7,0,0,7,0,0,0,6,1,0,0,1,0,0,0,42,7,0,0,7,0,0,0,6,1,0,0,1,0,0,0
a,49,0,7,0,7,0,1,0,0,0,0,0,0,0,0,0,49,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,49,0,7,0,7,0,1,0,0,0,0,0,0,0,0,0,49,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,49,0,4,0,7,0,0,0,3,0,0,0,1,0,0,0,49,5,0,0,2,0,0,0,7,1,0,0,0,0,0,0,50,2,4,1,4,0,0,0,1,0,0,0,1,0,0,1,50,4,1,0,2,0,1,0,5,1,0,0,0,0,0,0,50,3,3,0,2,0,1,0,3,1,0,0,0,0,0,1,49,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,48,0,2,0,7,0,0,0,5,0,0,0,1,0,0,1,48,5,4,0,1,0,0,0,3,0,0,0,1,0,0,2,49,0,0,0,7,0,0,0,7,0,0,0,1,0,0,0,49,7,0,0,0,0,0,0,7,1,0,0,0,0,0,0,49,0,0,0,7,0,0,0,7,0,0,0,1,0,0,0,49,7,0,0,0,0,0,0,7,1,0,0,0,0,0,0
a,42,7,6,1,7,0,1,0,0,0,0,0,0,0,0,0,42,7,6,1,7,0,1,0,0,0,0,0,0,0,0,0,42,7,6,1,7,0,1,0,0,0,0,0,0,0,0,0,42,7,6,1,7,0,1,0,0,0,0,0,0,0,0,0,45,4,7,1,6,0,0,0,0,0,0,0,0,0,0,1,44,6,7,0,4,0,1,0,0,0,0,0,0,0,0,2,45,4,7,1,6,0,0,0,0,0,0,0,0,0,0,1,45,5,7,0,5,0,0,0,0,0,0,0,0,0,0,2,44,6,0,0,5,0,0,0,7,1,0,0,0,0,0,1,45,4,0,0,7,0,0,0,7,0,0,0,0,0,0,1,46,6,0,0,3,0,0,0,7,1,0,0,0,0,0,1,46,3,0,0,5,0,0,0,7,0,0,0,0,0,0,3,42,7,0,0,7,0,0,0,6,1,0,0,1,0,0,0,42,7,0,0,7,0,0,0,6,1,0,0,1,0,0,0,42,7,0,0,7,0,0,0,6,1,0,0,1,0,0,0,42,7,0,0,7,0,0,0,6,1,0,0,1,0,0,0
a,49,0,7,0,7,0,1,0,0,0,0,0,0,0,0,0,49,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,49,0,7,0,7,0,1,0,0,0,0,0,0,0,0,0,49,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,49,0,4,0,7,0,0,0,3,0,0,0,1,0,0,0,49,2,1,0,4,0,1,0,5,1,0,0,0,0,0,1,50,3,5,1,3,0,0,0,1,0,0,0,1,0,0,0,48,1,2,0,4,0,1,0,4,1,0,0,0,0,0,3,48,4,2,0,3,0,1,0,5,0,0,0,0,0,0,1,49,2,5,1,3,0,0,0,1,0,0,0,1,0,0,2,50,2,1,0,4,0,1,0,5,1,0,0,0,0,0,0,49,7,4,1,0,0,0,0,3,0,0,0,0,0,0,0,49,0,0,0,7,0,0,0,7,0,0,0,1,0,0,0,49,7,0,0,0,0,0,0,7,1,0,0,0,0,0,0,49,0,0,0,7,0,0,0,7,0,0,0,1,0,0,0,49,7,0,0,0,0,0,0,7,1,0,0,0,0,0,0
a,39,6,3,1,6,0,1,0,6,1,0,0,1,0,0,0,44,7,5,0,0,0,0,0,7,1,0,0,0,0,0,0,44,0,5,0,7,0,0,0,7,0,0,0,1,0,0,0,39,6,3,1,6,0,1,0,6,1,0,0,1,0,0,0,45,4,4,0,7,0,0,0,2,1,0,0,1,0,0,0,50,3,1,0,3,0,1,0,5,1,0,0,0,0,0,0,50,5,4,1,1,0,0,0,2,0,0,0,1,0,0,0,48,2,2,0,6,0,1,0,4,1,0,0,0,0,0,0,46,7,1,1,3,0,1,0,5,0,0,0,0,0,0,0,49,4,4,1,2,0,0,0,2,0,0,0,1,0,0,1,49,0,3,0,7,0,0,0,4,1,0,0,0,0,0,0,43,6,4,1,7,0,0,0,2,0,0,0,1,0,0,0,36,6,6,1,6,0,1,0,6,1,0,0,1,0,0,0,42,6,7,1,0,0,0,0,7,1,0,0,0,0,0,0,42,0,7,0,6,0,1,0,7,0,0,0,1,0,0,0,36,6,6,1,6,0,1,0,6,1,0,0,1,0,0,0
