class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
a,38,24,12,8,14,24,3,8,23,19,23,13,8,19,7,13,37,24,11,8,18,20,6,8,24,18,24,14,14,11,10,9,37,18,11,6,24,20,8,8,24,14,24,10,18,11,14,9,38,14,12,3,24,24,8,8,23,8,23,7,19,19,13,13,39,31,24,3,16,13,20,0,21,12,1,3,3,12,1,57,51,31,16,5,25,17,5,10,8,9,0,3,8,0,1,67,35,15,24,11,16,11,21,5,19,9,1,1,12,10,0,66,35,10,22,19,26,17,11,5,18,6,0,0,12,12,0,63,35,24,24,13,13,23,7,13,15,28,13,3,6,5,6,28,38,27,24,14,17,19,10,11,16,11,18,12,15,9,6,9,36,19,21,10,26,10,7,11,16,27,6,1,9,1,11,45,37,33,16,1,28,13,13,10,7,10,12,10,16,3,12,35,36,30,25,13,14,30,7,13,14,5,21,16,3,5,8,16,37,28,25,14,22,22,10,9,11,6,23,16,4,5,12,12,37,22,25,10,28,22,14,9,11,4,23,12,6,5,16,12,36,14,25,7,30,30,13,13,14,3,21,8,5,5,16,16
a,40,28,12,7,12,26,4,8,21,13,23,16,9,16,7,14,30,22,10,5,20,35,6,10,20,9,20,12,10,17,12,18,30,20,10,6,22,35,5,10,20,10,20,12,9,17,12,18,40,12,12,4,28,26,7,8,21,9,23,7,13,16,16,14,30,21,23,10,16,11,22,8,14,11,22,15,4,11,3,35,27,20,28,18,13,20,16,24,9,6,3,1,6,9,11,45,39,11,31,17,7,12,26,15,9,6,1,2,6,9,1,64,42,12,21,8,35,17,6,9,13,9,3,4,8,4,1,64,41,23,18,4,13,9,6,7,23,32,10,6,3,6,9,46,26,18,16,8,17,32,8,14,14,9,24,13,9,15,14,19,29,21,12,8,16,16,7,10,27,15,17,14,7,14,10,33,31,15,15,5,21,10,9,7,25,17,18,6,13,15,12,37,39,27,23,14,13,28,8,15,12,7,22,16,3,5,8,16,30,21,20,10,20,38,11,17,10,5,20,12,5,5,12,20,30,20,20,11,21,38,10,17,10,5,20,12,5,5,12,20,39,13,23,8,27,28,14,15,12,3,22,8,7,5,16,16
a,29,24,20,16,23,18,16,12,19,13,12,11,15,10,10,8,29,23,20,16,24,18,16,12,19,15,12,10,13,10,11,8,29,24,20,16,23,18,16,12,19,13,12,11,15,10,10,8,29,23,20,16,24,18,16,12,19,15,12,10,13,10,11,8,35,19,18,14,24,7,32,2,15,16,10,9,10,9,4,32,38,35,20,5,34,14,14,6,8,14,4,6,7,0,1,50,49,20,26,14,16,5,16,0,16,2,4,3,6,9,1,69,48,29,26,5,24,15,6,3,10,6,4,1,7,0,0,72,46,28,17,4,19,7,12,9,18,23,7,3,4,2,7,50,29,23,20,16,24,18,16,12,19,15,12,10,13,10,11,8,54,12,20,5,15,10,12,2,24,17,19,2,1,1,7,55,34,31,15,9,21,13,15,6,15,23,8,8,11,2,11,34,27,20,20,19,23,15,16,14,19,16,14,9,15,12,10,7,27,23,20,16,20,15,19,14,19,15,14,10,16,12,9,7,27,20,20,19,23,15,16,14,19,16,14,9,15,12,10,7,27,23,20,16,20,15,19,14,19,15,14,10,16,12,9,7
a,0,80,0,51,28,0,16,0,0,12,0,49,4,0,16,0,0,28,0,16,80,0,51,0,0,4,0,16,12,0,49,0,0,80,0,51,28,0,16,0,0,12,0,49,4,0,16,0,0,28,0,16,80,0,51,0,0,4,0,16,12,0,49,0,12,67,18,39,20,0,19,4,0,12,0,39,4,0,11,11,6,27,15,17,70,0,39,1,0,4,5,7,12,0,18,35,29,55,19,36,15,0,23,7,1,12,2,31,2,0,6,18,5,32,16,4,82,0,22,0,1,9,11,9,19,0,6,40,23,60,6,4,25,0,4,0,3,50,0,18,13,6,16,28,0,28,0,4,83,0,8,0,0,16,0,16,57,0,43,1,14,63,0,6,25,1,4,0,9,44,1,21,16,10,16,26,12,21,0,4,69,2,5,0,15,16,9,8,34,3,28,30,0,78,0,12,24,0,4,0,0,50,0,52,20,0,16,0,0,24,0,4,78,0,12,0,0,20,0,16,50,0,52,0,0,78,0,12,24,0,4,0,0,50,0,52,20,0,16,0,0,24,0,4,78,0,12,0,0,20,0,16,50,0,52,0
a,3,22,5,26,18,26,21,32,4,18,4,14,14,20,11,18,3,18,5,21,22,26,26,32,4,14,4,11,18,20,14,18,3,22,5,26,18,26,21,32,4,18,4,14,14,20,11,18,3,18,5,21,22,26,26,32,4,14,4,11,18,20,14,18,19,23,14,13,24,21,38,2,6,17,4,13,7,14,1,40,18,26,13,15,34,20,5,15,8,13,3,3,22,6,1,54,26,29,20,8,27,16,28,4,9,15,5,8,0,12,4,45,16,28,19,14,28,24,4,8,7,11,4,2,23,2,3,63,16,33,7,12,21,13,13,10,10,35,0,5,15,4,11,51,4,18,3,13,25,30,14,16,5,22,4,11,32,26,13,20,4,25,3,9,18,21,13,13,9,39,3,8,35,2,3,51,6,18,4,10,25,22,14,14,19,28,4,0,21,5,8,58,3,21,4,19,17,26,15,22,5,24,4,16,19,26,13,22,3,17,4,15,21,26,19,22,5,19,4,13,24,26,16,22,3,21,4,19,17,26,15,22,5,24,4,16,19,26,13,22,3,17,4,15,21,26,19,22,5,19,4,13,24,26,16,22
a,60,14,16,5,14,28,5,10,20,5,32,8,5,10,8,16,60,14,16,5,14,28,5,10,20,5,32,8,5,10,8,16,60,14,16,5,14,28,5,10,20,5,32,8,5,10,8,16,60,14,16,5,14,28,5,10,20,5,32,8,5,10,8,16,61,17,19,5,21,8,13,3,17,15,14,3,5,3,4,48,60,19,18,15,22,13,0,2,19,5,5,4,17,1,5,51,55,18,26,2,21,9,17,4,25,14,5,3,3,5,5,44,53,15,15,4,18,11,5,4,17,7,10,6,15,5,4,67,46,25,24,12,14,11,8,8,11,16,15,6,4,6,6,44,54,14,32,8,12,26,8,16,16,4,22,6,14,6,2,16,39,27,21,12,14,8,8,8,13,16,14,7,4,3,6,56,58,15,14,6,19,12,5,10,19,4,14,4,9,5,4,58,60,15,20,4,15,30,4,8,16,5,32,8,5,10,8,16,60,15,20,4,15,30,4,8,16,5,32,8,5,10,8,16,60,15,20,4,15,30,4,8,16,5,32,8,5,10,8,16,60,15,20,4,15,30,4,8,16,5,32,8,5,10,8,16
a,30,12,28,8,12,30,8,30,26,8,12,4,8,24,4,12,30,12,28,8,12,30,8,30,26,8,12,4,8,24,4,12,30,12,28,8,12,30,8,30,26,8,12,4,8,24,4,12,30,12,28,8,12,30,8,30,26,8,12,4,8,24,4,12,47,21,21,2,20,18,23,7,20,9,9,1,5,12,7,34,52,15,12,4,21,35,3,14,11,8,11,6,11,10,11,32,56,21,18,12,13,18,19,3,14,5,5,1,3,13,8,47,44,16,16,7,26,28,8,8,13,4,6,6,13,8,5,48,42,36,12,11,8,20,5,15,11,21,13,12,3,10,3,34,38,14,20,6,14,38,6,22,18,6,20,6,6,18,6,18,38,20,19,7,13,24,5,14,27,14,14,9,9,11,6,26,34,15,16,5,23,24,9,15,21,19,8,2,11,3,7,44,30,12,26,8,12,36,8,20,28,8,12,4,8,28,4,12,30,12,26,8,12,36,8,20,28,8,12,4,8,28,4,12,30,12,26,8,12,36,8,20,28,8,12,4,8,28,4,12,30,12,26,8,12,36,8,20,28,8,12,4,8,28,4,12
a,19,23,10,13,18,12,11,9,28,35,7,9,27,22,8,5,19,18,10,11,23,12,13,9,28,27,7,8,35,22,9,5,19,23,10,13,18,12,11,9,28,35,7,9,27,22,8,5,19,18,10,11,23,12,13,9,28,27,7,8,35,22,9,5,50,23,17,6,23,9,27,9,11,13,5,17,2,3,7,34,35,24,8,8,30,18,10,6,18,17,6,6,19,11,7,33,47,25,27,17,21,9,15,3,14,8,2,4,5,2,3,54,32,26,20,9,30,12,7,1,14,18,4,3,18,4,5,53,31,36,14,14,21,13,10,6,11,19,13,10,9,5,10,34,25,25,14,14,32,19,17,11,12,12,13,13,15,9,16,9,36,27,16,12,20,8,12,7,18,19,15,12,10,13,10,21,27,23,11,10,32,13,12,10,16,11,10,13,23,5,11,29,18,21,28,36,17,13,28,20,12,15,6,8,12,9,7,6,18,17,28,28,21,13,36,20,12,12,6,7,15,9,8,6,18,21,28,36,17,13,28,20,12,15,6,8,12,9,7,6,18,17,28,28,21,13,36,20,12,12,6,7,15,9,8,6
a,52,12,24,7,12,24,7,14,20,6,32,7,6,12,7,14,52,12,24,7,12,24,7,14,20,6,32,7,6,12,7,14,52,12,24,7,12,24,7,14,20,6,32,7,6,12,7,14,52,12,24,7,12,24,7,14,20,6,32,7,6,12,7,14,45,13,33,8,13,10,17,12,17,6,22,9,4,8,10,29,47,13,35,8,14,22,9,13,16,4,12,11,4,8,11,29,46,13,32,14,12,10,15,7,18,4,18,6,3,8,7,43,55,14,32,6,15,28,7,10,10,3,12,11,6,1,7,39,45,16,15,2,9,13,6,11,28,27,24,2,11,13,6,28,44,9,20,6,9,18,6,12,36,11,28,6,11,22,6,12,44,9,20,6,9,11,6,8,41,13,22,6,11,23,6,21,45,10,14,4,12,10,7,9,34,24,13,4,21,11,7,31,52,13,16,3,13,26,3,6,24,6,36,10,6,12,10,20,52,13,16,3,13,26,3,6,24,6,36,10,6,12,10,20,52,13,16,3,13,26,3,6,24,6,36,10,6,12,10,20,52,13,16,3,13,26,3,6,24,6,36,10,6,12,10,20
a,17,20,15,20,16,12,16,12,20,25,12,15,20,15,12,9,31,17,25,15,4,17,4,15,35,20,21,12,5,20,3,12,31,4,25,4,17,17,15,15,35,5,21,3,20,20,12,12,17,16,15,16,20,12,20,12,20,20,12,12,25,15,15,9,46,23,14,6,24,9,13,9,16,21,11,6,12,12,9,25,57,32,7,5,9,29,1,4,21,12,15,9,8,8,11,28,53,6,21,11,17,14,19,4,30,4,3,2,12,17,10,33,26,33,11,5,45,15,8,1,13,12,8,9,17,8,7,38,28,42,10,22,28,11,19,12,1,18,8,16,4,3,13,21,53,28,26,19,7,28,5,18,7,4,26,13,1,4,3,14,49,6,26,5,22,15,18,16,16,8,20,2,12,12,8,21,27,26,13,17,32,10,23,12,15,16,4,7,12,3,13,26,18,20,19,25,18,16,19,13,15,20,12,15,15,10,12,9,33,18,31,19,4,20,5,18,27,15,21,12,4,14,3,12,33,4,31,5,18,20,19,18,27,4,21,3,15,14,12,12,18,18,19,19,20,16,25,13,15,15,12,12,20,10,15,9
a,28,9,26,15,9,12,15,20,24,21,18,3,21,28,3,4,28,9,26,15,9,12,15,20,24,21,18,3,21,28,3,4,28,9,26,15,9,12,15,20,24,21,18,3,21,28,3,4,28,9,26,15,9,12,15,20,24,21,18,3,21,28,3,4,41,21,30,15,22,13,16,12,14,6,8,8,3,8,11,28,42,24,28,11,24,19,8,10,11,6,10,10,9,5,7,32,47,18,26,8,22,12,22,16,14,6,9,11,3,8,9,25,45,27,24,10,20,21,11,8,11,5,7,10,10,3,9,35,40,23,10,6,21,21,6,8,19,17,19,12,9,10,12,23,43,21,10,6,16,24,6,8,19,9,23,12,22,11,5,21,42,27,8,0,20,13,6,8,19,30,15,4,11,10,11,32,43,20,10,6,21,18,4,8,18,22,16,7,13,7,11,32,22,12,30,18,12,16,18,24,26,12,18,6,12,16,6,8,22,12,30,18,12,16,18,24,26,12,18,6,12,16,6,8,22,12,30,18,12,16,18,24,26,12,18,6,12,16,6,8,22,12,30,18,12,16,18,24,26,12,18,6,12,16,6,8
a,42,14,12,4,21,32,6,14,12,4,30,10,6,10,15,24,21,36,6,13,35,21,11,6,6,8,15,23,10,6,24,15,21,35,6,11,36,21,13,6,6,10,15,24,8,6,23,15,42,21,12,6,14,32,4,14,12,6,30,15,4,10,10,24,28,6,29,2,14,15,28,12,27,8,15,6,9,23,11,23,24,37,13,11,29,14,21,9,8,12,13,12,6,5,14,28,18,21,18,16,22,8,28,6,12,17,8,12,18,13,13,26,42,19,15,8,29,17,19,9,10,9,9,11,4,6,11,38,35,19,17,11,13,9,15,19,22,29,5,9,11,6,6,30,24,15,13,20,30,9,14,11,21,20,6,7,16,12,7,31,20,22,14,16,22,10,22,11,20,26,6,11,16,9,12,19,31,21,31,5,13,20,5,9,31,10,11,11,12,16,3,27,36,12,12,4,19,31,6,10,18,6,30,10,8,14,15,25,18,33,6,11,32,18,10,6,9,12,15,24,13,9,25,15,18,32,6,10,33,18,11,6,9,13,15,25,12,9,24,15,36,19,12,6,12,31,4,10,18,8,30,15,6,14,10,25
a,12,18,16,18,22,19,22,16,12,16,8,12,20,16,16,13,17,17,20,20,14,23,12,24,16,16,11,11,12,20,10,13,17,14,20,12,17,23,20,24,16,12,11,10,16,20,11,13,12,22,16,22,18,19,18,16,12,20,8,16,16,16,12,13,22,17,11,8,25,14,33,9,9,15,6,17,16,14,20,20,30,28,16,5,25,21,20,5,9,16,12,17,6,10,13,23,41,29,16,15,19,10,14,11,9,8,10,10,9,13,11,31,27,27,12,8,30,17,21,6,11,13,14,14,5,10,14,27,30,26,9,11,18,9,19,16,18,29,8,11,8,9,11,24,29,16,14,14,25,15,13,15,24,11,10,8,13,11,10,28,22,13,13,12,20,18,14,24,14,26,12,5,24,5,12,22,29,22,16,11,25,13,17,11,17,14,21,3,13,11,6,27,16,17,9,15,21,13,20,17,15,19,8,13,23,19,16,15,20,19,13,13,11,19,13,16,20,20,11,12,13,27,11,18,20,11,13,13,19,19,13,16,20,13,11,11,20,27,12,18,16,21,9,20,17,13,15,17,15,23,8,16,19,19,13,15
a,0,20,0,20,20,40,20,40,0,20,0,4,20,40,4,8,0,20,0,20,20,40,20,40,0,20,0,4,20,40,4,8,0,20,0,20,20,40,20,40,0,20,0,4,20,40,4,8,0,20,0,20,20,40,20,40,0,20,0,4,20,40,4,8,9,16,2,15,21,20,40,4,0,20,0,12,15,38,3,41,10,33,10,1,34,33,8,23,7,18,4,3,16,1,1,54,25,28,17,18,26,5,21,1,8,6,1,1,1,29,2,67,21,20,13,12,21,19,14,9,6,17,3,3,20,8,0,70,19,36,10,9,24,12,20,12,15,26,1,5,4,2,8,53,0,20,0,20,20,40,20,40,0,16,0,8,16,32,8,16,14,23,4,15,18,20,20,13,24,22,6,6,10,9,7,45,7,24,0,14,21,28,16,32,13,21,2,5,16,4,4,49,0,24,0,12,24,48,12,24,0,16,0,12,16,32,12,24,0,24,0,12,24,48,12,24,0,16,0,12,16,32,12,24,0,24,0,12,24,48,12,24,0,16,0,12,16,32,12,24,0,24,0,12,24,48,12,24,0,16,0,12,16,32,12,24
a,0,18,0,16,18,36,16,32,0,20,0,10,20,40,10,20,0,18,0,16,18,36,16,32,0,20,0,10,20,40,10,20,0,18,0,16,18,36,16,32,0,20,0,10,20,40,10,20,0,18,0,16,18,36,16,32,0,20,0,10,20,40,10,20,0,20,1,18,22,39,29,22,0,18,0,8,16,35,6,22,12,33,10,14,39,27,22,2,2,14,6,8,2,18,15,32,22,35,7,15,24,18,22,13,0,9,1,14,12,25,9,30,15,33,9,4,43,29,17,9,4,12,8,11,8,4,9,41,14,32,5,3,25,20,14,21,11,33,0,7,18,14,8,31,4,18,0,14,33,28,14,18,10,24,3,8,22,24,9,27,1,20,0,12,25,28,12,28,1,40,0,4,24,28,9,24,25,22,6,14,17,27,12,9,30,21,3,9,13,14,8,26,0,18,0,20,18,36,20,40,0,20,0,6,20,40,6,12,0,18,0,20,18,36,20,40,0,20,0,6,20,40,6,12,0,18,0,20,18,36,20,40,0,20,0,6,20,40,6,12,0,18,0,20,18,36,20,40,0,20,0,6,20,40,6,12
a,36,19,24,11,24,19,16,11,18,9,18,9,12,9,12,9,36,12,24,8,25,25,16,16,18,6,18,6,11,11,12,12,36,25,24,16,12,25,8,16,18,11,18,12,6,11,6,12,36,24,24,16,19,19,11,11,18,12,18,12,9,9,9,9,40,21,20,10,28,16,20,12,12,5,22,12,5,6,13,14,51,19,15,15,32,17,13,9,11,2,16,6,1,4,17,28,54,29,18,19,11,18,18,6,6,3,17,15,1,7,3,31,59,21,19,14,27,12,15,8,5,5,7,14,3,0,11,36,53,21,7,0,31,9,4,3,24,20,11,12,10,8,12,31,47,14,0,0,36,23,4,6,26,6,21,6,19,11,15,22,54,23,0,2,19,13,0,4,31,31,7,8,6,8,12,38,57,22,1,3,20,18,3,1,33,14,26,12,3,14,4,25,36,19,18,8,24,18,12,9,24,12,18,9,16,12,12,9,36,12,18,6,25,25,11,11,24,8,18,6,16,16,12,12,36,25,18,11,12,25,6,11,24,16,18,12,8,16,6,12,36,24,18,12,19,18,8,9,24,16,18,12,12,12,9,9
a,33,24,19,16,25,20,16,12,7,8,21,16,7,4,16,12,33,25,19,16,24,20,16,12,7,7,21,16,8,4,16,12,33,24,19,16,25,20,16,12,7,8,21,16,7,4,16,12,33,25,19,16,24,20,16,12,7,7,21,16,8,4,16,12,24,19,30,19,19,9,38,16,15,11,6,12,11,9,8,10,36,29,20,6,28,20,9,0,19,15,9,13,10,6,15,21,47,20,41,26,14,9,11,11,12,5,5,5,4,11,5,30,39,26,14,3,33,21,3,0,17,14,11,14,14,7,12,28,40,18,15,9,15,10,12,9,30,28,8,9,12,20,5,16,40,18,17,5,33,14,17,6,26,9,9,6,9,7,6,34,29,18,13,10,14,11,12,9,35,36,9,4,15,18,6,17,43,20,14,5,25,12,12,9,24,12,10,10,22,9,4,25,31,25,13,10,25,20,9,5,16,13,20,16,13,9,17,14,31,25,13,9,25,20,10,5,16,13,20,17,13,9,16,14,31,25,13,10,25,20,9,5,16,13,20,16,13,9,17,14,31,25,13,9,25,20,10,5,16,13,20,17,13,9,16,14
