class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
a,58,26,30,17,16,6,17,2,25,19,2,0,11,3,2,22,47,18,35,12,30,6,18,3,29,11,0,0,20,4,0,23,50,35,35,25,20,5,16,5,21,21,6,0,11,2,0,4,58,17,26,15,26,6,25,3,34,12,2,0,13,4,2,13
a,39,22,46,19,41,0,31,2,19,14,0,0,14,0,0,9,43,40,42,20,25,0,23,0,17,14,0,0,11,0,0,21,42,28,21,10,36,0,20,0,36,31,0,0,26,0,0,6,40,39,20,17,27,0,13,0,40,28,0,0,22,2,0,8
a,36,26,36,18,30,0,32,6,17,25,0,0,20,0,0,10,33,30,44,25,33,0,28,0,7,19,0,0,15,0,0,22,31,34,16,23,23,0,32,0,25,42,0,0,22,0,0,8,33,32,15,20,29,0,21,0,37,33,0,0,15,7,0,14
a,50,25,36,19,31,0,27,4,18,23,0,2,17,0,0,4,48,28,35,20,29,0,29,2,17,20,4,2,18,0,1,3,44,33,23,17,28,0,24,0,25,30,6,1,23,0,2,0,43,33,21,16,29,0,21,0,31,24,3,1,28,0,0,6
a,30,39,32,29,42,0,33,5,1,15,2,2,10,0,5,11,24,40,43,34,42,0,29,4,1,12,0,1,9,0,2,15,16,40,8,16,32,0,26,0,19,50,2,2,35,0,6,4,14,39,4,19,39,0,19,0,26,39,0,2,38,1,2,14
a,34,37,42,24,37,14,27,8,6,3,2,3,3,1,3,12,36,36,40,28,37,13,25,2,6,4,3,0,5,1,5,15,29,38,7,9,36,12,10,4,25,43,2,5,27,0,4,5,32,31,5,8,35,13,6,3,40,24,1,4,36,0,2,16
a,23,24,43,31,27,11,30,8,15,17,0,1,15,6,2,3,26,24,48,33,25,9,23,7,14,14,0,0,14,7,2,10,12,27,20,17,21,4,25,10,30,48,2,0,31,3,2,4,15,20,17,22,21,6,19,8,39,33,1,1,38,10,0,6
a,44,24,26,22,21,0,20,4,36,27,0,0,31,0,0,1,51,25,30,25,23,0,19,4,26,22,0,0,24,0,0,7,31,26,41,31,20,0,40,0,24,28,0,0,12,0,0,3,35,21,34,36,22,0,32,0,26,22,0,0,22,0,0,6
a,21,39,25,24,42,0,22,3,8,31,1,3,28,0,5,4,25,39,24,26,40,0,23,2,8,29,1,2,27,0,5,5,13,39,12,33,32,0,42,0,13,35,2,4,23,0,7,1,13,34,9,36,38,0,30,0,20,30,1,5,36,0,3,1
a,74,28,13,20,9,15,17,3,28,22,11,2,3,5,2,4,69,4,25,20,32,13,19,4,32,5,1,0,16,5,6,5,66,46,35,21,8,8,5,11,9,22,13,5,1,0,2,4,63,6,35,4,36,13,23,10,22,11,6,0,13,4,7,3
