class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
a,19,34,19,24,27,6,20,4,22,36,4,2,30,6,3,0,31,21,34,17,21,6,17,4,40,24,7,2,24,6,2,0,31,21,34,17,21,6,17,4,40,24,7,2,24,6,2,0,19,27,19,20,34,6,24,4,22,30,4,3,36,6,2,0,59,29,33,3,36,4,1,2,3,16,0,0,4,1,8,57,72,34,7,6,34,3,4,0,18,3,0,0,5,3,0,67,54,29,31,7,28,3,8,0,17,3,0,0,4,3,3,66,38,37,26,8,35,7,11,0,5,5,2,5,13,1,0,63,29,43,16,20,35,6,20,4,24,26,2,0,11,0,3,17,49,28,28,16,29,6,15,4,29,18,6,2,23,0,2,1,59,28,23,8,32,1,6,4,24,19,1,0,8,0,3,40,39,48,14,6,30,1,22,3,22,10,2,3,24,0,0,32,19,30,22,30,25,5,25,5,19,34,4,2,27,6,3,0,31,21,41,21,19,5,21,5,35,20,5,2,22,6,2,0,31,19,41,21,21,5,21,5,35,22,5,2,20,6,2,0,19,25,22,25,30,5,30,5,19,27,4,3,34,6,2,0
a,28,41,19,24,21,0,15,0,33,47,0,0,28,0,0,0,41,25,32,13,20,5,9,4,55,26,0,0,19,7,0,0,41,20,32,9,25,5,13,4,55,19,0,0,26,7,0,0,28,21,19,15,41,0,24,0,33,28,0,0,47,0,0,0,53,37,25,15,28,0,25,1,14,28,2,4,5,0,0,19,64,32,32,18,24,8,14,1,2,0,8,4,0,0,3,46,69,20,40,8,28,6,10,0,3,1,2,1,0,1,6,61,53,35,14,6,56,0,5,0,14,3,2,0,6,2,0,60,64,45,10,7,14,0,15,0,26,21,0,2,8,2,2,40,64,32,32,16,24,8,12,4,24,12,8,4,9,3,3,1,78,20,20,8,16,7,16,1,28,18,5,1,8,8,3,19,65,28,8,4,32,0,20,0,21,20,8,3,7,3,1,36,25,37,35,49,21,0,27,0,20,26,0,0,16,0,0,0,40,22,56,28,17,6,21,7,32,14,0,0,10,3,0,0,40,17,56,21,22,6,28,7,32,10,0,0,14,3,0,0,25,21,35,27,37,0,49,0,20,16,0,0,26,0,0,0
a,36,37,24,20,31,8,16,4,36,19,0,4,14,3,3,1,36,31,24,16,37,8,20,4,36,14,0,3,19,3,4,1,36,37,24,20,31,8,16,4,36,19,0,4,14,3,3,1,36,31,24,16,37,8,20,4,36,14,0,3,19,3,4,1,55,26,28,9,31,3,23,3,15,20,2,4,4,4,3,26,63,34,7,10,34,5,5,0,20,0,8,4,15,0,0,51,77,30,22,3,14,2,10,3,8,8,2,4,3,0,2,68,86,18,11,3,31,3,8,0,6,4,4,5,2,2,1,72,70,38,19,5,11,1,10,1,31,11,0,3,4,5,1,46,36,31,24,16,37,8,20,4,36,14,0,3,19,3,4,1,77,19,18,12,5,10,4,0,33,2,6,3,11,1,0,55,56,42,12,0,22,5,20,2,29,14,1,6,10,1,3,33,48,35,18,20,29,7,16,4,24,20,6,5,15,4,4,1,48,29,18,16,35,7,20,4,24,15,6,4,20,4,5,1,48,35,18,20,29,7,16,4,24,20,6,5,15,4,4,1,48,29,18,16,35,7,20,4,24,15,6,4,20,4,5,1
a,30,57,30,41,5,0,5,0,30,38,6,8,5,0,1,0,30,5,30,5,57,0,41,0,30,5,6,1,38,0,8,0,30,57,30,41,5,0,5,0,30,38,6,8,5,0,1,0,30,5,30,5,57,0,41,0,30,5,6,1,38,0,8,0,58,55,32,17,6,0,18,3,15,25,0,12,3,0,1,11,48,7,34,10,62,0,21,2,12,2,6,1,12,0,8,31,66,49,36,14,6,0,20,4,7,24,2,6,1,0,5,16,63,9,20,5,66,0,22,0,14,5,7,2,5,2,1,35,59,56,21,12,5,0,4,0,25,27,4,5,7,5,1,25,42,7,24,4,61,0,27,0,24,4,6,1,43,0,12,1,45,63,23,12,6,0,4,0,25,39,6,1,4,1,1,26,51,7,13,4,54,0,19,0,32,22,0,1,12,0,12,29,36,57,30,43,6,0,5,0,24,39,6,5,4,0,1,0,36,6,30,5,57,0,43,0,24,4,6,1,39,0,5,0,36,57,30,43,6,0,5,0,24,39,6,5,4,0,1,0,36,6,30,5,57,0,43,0,24,4,6,1,39,0,5,0
a,45,21,38,25,29,0,30,0,26,15,3,3,18,0,3,0,45,29,38,30,21,0,25,0,26,18,3,3,15,0,3,0,45,21,38,25,29,0,30,0,26,15,3,3,18,0,3,0,45,29,38,30,21,0,25,0,26,18,3,3,15,0,3,0,66,16,33,8,30,0,19,4,17,16,3,2,9,0,2,31,79,34,10,2,22,0,11,0,12,11,10,6,1,1,3,54,80,15,31,14,24,0,12,4,10,9,0,0,9,0,4,44,80,20,12,9,21,0,8,0,16,17,3,1,1,1,4,63,66,31,19,1,15,0,14,0,35,12,1,2,9,5,3,43,46,34,28,18,26,0,13,0,33,23,5,5,23,0,2,0,50,30,22,4,24,0,10,0,37,20,3,0,14,0,0,42,53,31,18,9,23,0,9,0,39,11,2,0,10,0,3,48,47,24,26,13,33,0,16,0,36,24,3,3,28,0,3,0,47,33,26,16,24,0,13,0,36,28,3,3,24,0,3,0,47,24,26,13,33,0,16,0,36,24,3,3,28,0,3,0,47,33,26,16,24,0,13,0,36,28,3,3,24,0,3,0
a,28,35,16,20,35,14,20,8,16,20,4,5,20,8,5,2,28,35,16,20,35,14,20,8,16,20,4,5,20,8,5,2,28,35,16,20,35,14,20,8,16,20,4,5,20,8,5,2,28,35,16,20,35,14,20,8,16,20,4,5,20,8,5,2,78,13,22,16,14,14,3,2,11,5,6,0,20,1,4,47,79,17,7,6,29,4,15,2,10,18,6,3,5,1,3,51,83,15,16,22,20,5,6,3,6,10,3,1,18,1,4,43,48,15,15,19,36,0,11,0,20,14,0,0,11,2,2,63,28,49,16,13,23,0,16,0,29,22,1,2,10,3,4,40,28,30,15,20,32,11,18,8,17,25,0,5,37,1,3,6,33,38,20,16,18,0,12,0,29,21,2,2,10,0,3,52,54,32,4,4,33,6,10,3,19,8,8,5,12,0,2,56,28,39,16,16,39,14,16,8,16,20,4,5,20,8,5,2,28,39,16,16,39,14,16,8,16,20,4,5,20,8,5,2,28,39,16,16,39,14,16,8,16,20,4,5,20,8,5,2,28,39,16,16,39,14,16,8,16,20,4,5,20,8,5,2
a,26,31,16,26,31,12,26,12,22,23,0,0,23,8,0,0,26,31,16,26,31,12,26,12,22,23,0,0,23,8,0,0,26,31,16,26,31,12,26,12,22,23,0,0,23,8,0,0,26,31,16,26,31,12,26,12,22,23,0,0,23,8,0,0,63,17,20,14,37,6,9,9,12,15,4,0,13,2,9,26,39,33,3,7,47,9,8,2,27,20,4,3,10,5,10,29,70,22,22,17,30,6,6,4,5,9,1,2,10,2,7,43,54,25,4,9,45,2,12,0,21,15,3,2,5,6,7,46,38,49,18,18,18,5,17,4,19,24,4,3,6,3,3,27,24,33,20,25,33,14,25,10,16,17,4,5,17,6,5,2,40,34,16,9,24,9,20,7,23,24,5,1,15,6,2,21,51,26,8,14,32,7,9,10,27,13,2,0,16,0,7,34,20,28,22,25,28,10,25,10,22,27,0,0,27,12,0,0,20,28,22,25,28,10,25,10,22,27,0,0,27,12,0,0,20,28,22,25,28,10,25,10,22,27,0,0,27,12,0,0,20,28,22,25,28,10,25,10,22,27,0,0,27,12,0,0
a,34,31,11,14,31,6,14,3,35,35,0,0,35,7,0,0,34,31,11,14,31,6,14,3,35,35,0,0,35,7,0,0,34,31,11,14,31,6,14,3,35,35,0,0,35,7,0,0,34,31,11,14,31,6,14,3,35,35,0,0,35,7,0,0,78,14,18,12,28,4,13,8,13,18,2,1,12,1,8,26,48,36,4,6,38,7,4,1,30,11,7,9,8,3,10,34,84,20,20,13,22,3,0,5,3,9,5,2,15,0,5,50,68,21,9,14,31,1,10,0,17,15,2,0,5,3,7,53,43,46,22,18,22,2,19,1,11,21,5,5,6,0,7,28,38,36,25,25,36,7,25,5,10,10,7,9,10,2,9,2,52,30,17,15,23,7,25,5,12,23,7,3,5,6,7,19,51,24,16,22,31,2,17,5,17,21,2,1,19,0,6,22,33,34,32,32,34,7,31,6,15,14,0,0,15,3,0,0,33,34,32,31,34,7,32,6,15,15,0,0,14,3,0,0,33,34,32,32,34,7,31,6,15,14,0,0,15,3,0,0,33,34,32,31,34,7,32,6,15,15,0,0,14,3,0,0
a,32,40,12,15,40,16,15,6,16,20,4,5,20,8,5,2,32,40,12,15,40,16,15,6,16,20,4,5,20,8,5,2,32,40,12,15,40,16,15,6,16,20,4,5,20,8,5,2,32,40,12,15,40,16,15,6,16,20,4,5,20,8,5,2,57,25,26,17,32,16,18,5,4,12,3,4,5,0,13,19,37,41,17,8,47,15,20,0,6,8,15,8,2,4,0,28,51,30,34,20,31,12,18,4,5,5,1,1,5,1,9,29,45,42,10,7,47,6,11,0,15,14,7,2,7,6,2,35,40,48,8,6,37,7,13,4,13,30,6,4,12,0,10,18,36,43,10,13,43,18,13,4,10,14,8,10,14,6,10,4,51,35,8,7,28,16,13,2,22,22,4,5,6,12,10,15,46,35,5,8,38,10,4,4,22,23,7,1,23,1,7,22,32,40,16,20,40,16,20,8,12,15,4,5,15,6,5,2,32,40,16,20,40,16,20,8,12,15,4,5,15,6,5,2,32,40,16,20,40,16,20,8,12,15,4,5,15,6,5,2,32,40,16,20,40,16,20,8,12,15,4,5,15,6,5,2
a,53,23,31,13,40,8,20,4,21,9,7,3,15,3,5,1,45,36,27,24,39,0,21,0,18,15,6,5,15,0,5,0,45,39,27,21,36,0,24,0,18,15,6,5,15,0,5,0,53,40,31,20,23,8,13,4,21,15,7,5,9,3,3,1,69,13,30,10,32,5,19,7,20,11,0,0,13,2,6,19,62,42,15,4,38,0,18,0,17,15,10,2,7,2,1,23,62,27,31,18,29,0,16,1,12,15,0,0,13,0,5,27,74,33,17,4,27,4,19,1,15,17,6,0,4,3,0,32,62,30,22,10,18,3,23,4,30,25,0,0,11,1,0,17,37,32,30,24,33,0,25,0,29,24,0,0,22,0,0,0,49,32,24,14,27,0,15,0,40,19,0,0,8,8,0,20,57,27,21,19,19,4,9,5,33,21,0,0,21,1,0,19,50,22,20,8,37,7,13,3,35,15,7,3,25,5,5,1,45,36,16,15,36,0,14,0,29,24,6,5,25,0,5,0,45,36,16,14,36,0,15,0,29,25,6,5,24,0,5,0,50,37,20,13,22,7,8,3,35,25,7,5,15,5,3,1
