class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
a,446,508,448,486,506,1537,530,1369,458,552,1173,921,515,1320,918,4697
a,277,469,364,637,465,1078,738,1375,370,782,610,1282,665,1387,1300,4585
a,1186,506,517,296,532,2162,426,960,522,418,1822,685,286,931,732,4403
a,12,551,21,197,536,4939,278,1082,7,289,2,535,222,1248,522,5943
a,1100,716,549,446,708,1760,519,970,549,535,1248,915,455,946,900,4068
a,1969,422,605,225,402,2534,285,704,593,287,2116,437,246,717,418,4424
a,747,654,620,649,642,1834,723,1500,576,721,841,722,654,1517,711,3273
a,1344,270,533,204,282,2163,259,734,538,252,2933,593,200,767,596,4716
a,737,208,692,291,207,1717,353,1815,844,382,1522,448,314,1930,444,4480
a,2352,595,589,233,589,2512,280,621,629,266,2317,579,231,559,573,3459
a,1052,1239,427,595,1234,1501,641,715,459,602,1164,1407,596,674,1413,2665
a,1884,658,624,212,635,2179,472,687,604,462,2077,707,213,705,682,3583
a,171,382,316,789,367,706,1145,1660,279,1070,477,1383,756,1586,1356,3941
a,15,525,21,407,525,2479,502,1576,12,547,6,785,451,1666,783,6084
a,1050,615,774,362,619,1906,683,1241,658,648,1240,704,334,1326,700,3524
a,2666,536,533,118,503,2587,426,508,569,418,2520,499,106,527,466,3402
a,32,843,34,903,850,1096,1201,1356,30,1281,11,1809,970,1093,1820,3055
a,1154,832,419,307,837,2679,654,990,419,646,1088,788,317,991,783,3480
a,434,845,559,993,836,1021,1356,1209,582,1339,614,1230,968,979,1226,2193
a,1759,563,702,235,570,2163,532,808,682,511,1993,652,216,822,658,3518
a,1574,546,596,190,533,2154,521,754,619,492,2022,681,185,766,673,4078
a,5,62,11,53,66,3447,393,2965,6,405,0,55,64,3284,56,5512
a,629,613,550,574,609,1421,974,1134,571,944,1068,1117,570,1115,1120,3375
a,1217,806,825,560,811,1439,896,1033,826,867,1339,871,558,926,892,2518
a,1208,542,628,325,546,2217,466,1003,655,469,1455,739,322,1038,736,4035
a,2340,591,547,186,584,2494,345,571,619,331,2285,563,185,555,569,3619
