class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
a,2480,856,906,322,773,2008,371,684,851,404,1647,535,342,632,526,3047
a,1223,717,893,429,735,1694,579,1113,879,669,1108,778,567,1082,755,3163
a,1236,950,944,564,963,1385,754,973,899,821,1027,730,650,929,753,2806
a,159,1728,264,872,1790,1463,958,728,47,1166,60,1427,1145,808,1472,2297
a,1144,964,627,502,977,1630,638,966,540,680,1058,849,535,854,889,3531
a,2168,303,1585,224,277,1578,238,1058,1449,326,2014,250,319,1079,218,3298
a,2474,607,1026,211,606,2192,272,834,852,339,1825,463,289,793,447,3154
a,1006,804,966,687,816,1073,769,1014,909,827,1248,1014,795,991,1001,2464
a,1488,437,533,83,456,3571,165,1110,384,243,1487,417,184,855,395,4576
a,1700,1039,1031,638,1031,1488,649,929,922,610,1109,795,568,860,808,2207
a,1534,905,885,438,912,2227,459,1034,769,509,1115,685,499,1120,681,2612
a,1337,941,873,545,973,1348,694,1012,886,740,1084,957,565,985,942,2502
a,974,842,698,476,852,1715,648,1200,712,638,1048,911,494,1192,924,3060
a,639,516,464,233,497,2598,461,1554,446,558,556,342,382,1880,329,4929
a,150,515,89,213,558,2764,535,2496,85,610,54,503,277,2452,494,4589
a,2960,789,872,173,763,2118,282,671,872,283,1919,689,197,654,603,2539
a,1197,1381,613,527,1418,1635,689,599,586,746,865,1214,606,745,1193,2370
a,1294,1011,811,588,1046,1656,718,1137,908,836,770,782,660,1229,799,2139
a,987,1014,915,883,975,1060,1092,1213,957,965,614,893,835,940,881,2160
a,2211,830,1083,361,878,1837,488,928,1084,526,1313,614,386,925,657,2263
a,1044,913,919,805,949,1003,957,1089,920,918,812,992,787,1066,974,2236
a,107,542,125,218,569,4605,505,1555,54,539,55,476,254,1555,483,4742
a,901,797,784,714,829,1098,967,1226,767,939,804,1051,723,1168,1069,2547
a,1708,970,977,473,1015,1523,631,844,961,638,1253,857,496,923,869,2246
a,1136,840,820,497,874,1901,556,1145,670,600,969,866,529,1003,896,3082
a,1714,1057,987,563,1075,1507,672,879,920,627,1094,780,537,840,804,2328
a,154,264,261,1846,335,159,1639,1462,262,1894,37,1213,1942,1636,1219,2061
a,3787,377,553,64,392,2910,173,349,515,194,2578,310,38,363,329,3452
a,1498,856,811,446,866,2128,480,985,750,577,1125,716,432,962,640,3112
a,1419,896,637,340,910,2239,472,894,594,585,1065,804,416,913,809,3391
a,1361,1078,928,719,1085,1092,811,757,981,877,1087,991,767,777,987,2086
a,39,76,462,420,52,43,531,761,424,585,1732,2203,469,703,2286,5598
a,1910,740,1124,392,741,1877,528,1062,868,589,1359,462,397,1008,511,2816
a,668,483,419,204,494,2878,307,1628,374,454,591,356,355,1870,364,4939
a,1,45,94,141,44,53,338,1526,4,392,58,947,267,1430,893,10151
a,908,960,719,634,958,1678,743,1048,680,805,831,960,733,1104,963,2660
a,1236,1171,1060,1129,1190,689,1265,713,1101,1320,529,698,1227,699,722,1635
a,661,829,682,654,854,1234,767,1426,591,824,758,1008,664,1235,1079,3118
a,58,292,90,310,304,1952,436,3532,8,503,36,414,397,3305,392,4355
a,1792,904,903,430,893,1947,468,954,801,460,1543,841,356,719,857,2516
a,705,441,443,210,456,3115,340,2284,334,414,515,374,268,2217,421,3847
a,730,609,569,550,606,1373,636,1423,624,686,973,1182,627,1328,1184,3284
a,974,446,1154,530,456,1348,584,1640,1191,594,1369,691,522,1547,688,2650
a,637,1408,456,827,1381,1303,1050,814,472,1093,391,1125,905,788,1120,2614
a,1878,932,969,413,926,1650,513,938,928,537,1417,772,427,844,774,2466
a,1490,1115,1070,576,1113,1303,669,808,1026,652,1207,921,627,929,930,1948
a,685,890,573,801,865,1585,914,1478,521,924,517,932,812,1362,972,2553
a,1488,1105,1100,563,1131,1290,659,797,1020,682,1193,901,602,924,891,2038
a,1029,485,1161,479,507,1316,596,1663,1158,656,1363,606,489,1442,647,2787
a,26,168,159,217,225,529,437,1625,45,585,43,1065,340,1545,1050,8325
a,33,399,61,280,404,3138,380,2721,7,447,37,443,362,2899,425,4348
a,2226,969,912,378,949,1870,415,837,871,361,1729,808,394,690,801,2174
a,2120,846,923,353,838,1930,390,821,842,425,1616,811,397,823,793,2456
a,646,688,1114,897,687,995,991,1308,1034,918,1105,1047,860,1122,1046,1926
a,6,1,657,364,8,8,605,754,599,736,2141,1842,418,641,1918,5686
a,1831,948,907,505,947,1714,535,963,1000,535,1330,820,535,920,879,2015
a,2541,791,876,294,790,2142,301,723,874,326,1889,665,285,699,722,2466
a,884,719,711,733,733,1570,771,1407,725,809,679,846,759,1581,923,2534
a,1808,1153,961,587,1107,1579,611,868,938,655,1145,873,594,864,821,1820
a,718,715,678,615,711,1469,686,1452,655,712,894,1001,639,1489,1037,2913
a,1926,953,1025,523,962,1647,558,937,986,528,1368,816,484,856,838,1977
a,857,538,556,259,545,2111,365,1092,688,556,946,728,426,1530,736,4451
a,942,638,1037,598,620,849,757,1075,891,786,1371,1139,604,984,1139,2954
a,2444,251,1656,119,278,1879,233,1186,1630,291,1807,251,179,1333,270,2577
a,690,656,911,739,651,1203,834,1462,782,913,787,867,803,1430,840,2816
a,1372,843,912,456,796,1495,716,986,840,749,1208,714,452,986,695,3164
a,2886,216,1505,134,224,2035,164,1273,1350,229,1914,229,173,1268,227,2557
a,888,724,696,520,736,1507,623,1247,580,702,970,1010,598,1238,1019,3326
a,1160,835,752,570,824,1709,651,1151,761,665,1056,870,580,996,867,2937
a,2061,471,715,114,495,2790,177,653,687,303,2068,485,253,1300,494,3318
a,812,1015,583,746,1006,1311,808,1344,598,860,711,1099,790,1128,1088,2485
a,1881,897,855,364,902,2046,417,819,816,509,1375,741,443,769,776,2774
a,1151,733,865,552,719,1731,588,1126,796,643,1139,874,588,1102,900,2877
a,853,1238,753,1020,1222,825,1096,874,662,1074,737,1188,980,684,1201,1977
a,2142,780,722,307,773,2297,272,728,671,316,1822,735,340,689,770,3020
a,1446,409,649,149,407,3234,198,1575,560,249,1296,393,198,1312,380,3929
a,1295,1226,621,532,1169,1796,626,941,662,710,808,865,589,911,846,2787
a,834,825,812,834,865,876,1130,1069,836,1139,701,990,857,1017,993,2606
a,1133,822,769,650,859,1507,802,1278,578,759,734,983,616,1382,951,2561
a,675,769,789,1135,820,843,1181,1100,785,1227,643,1138,1088,1127,1174,1890
a,1089,846,801,622,891,1405,797,1049,872,826,1009,987,659,1116,970,2445
a,825,614,875,590,636,1386,743,1374,920,790,1055,944,657,1406,914,2655
a,1930,593,696,169,623,2582,295,1000,675,253,1934,593,148,818,621,3454
a,1168,1230,746,853,1233,746,1147,748,725,1093,679,1145,799,643,1195,2234
a,1623,716,783,287,699,2078,407,1081,778,427,1358,758,315,1227,781,3066
a,106,186,82,265,215,448,574,1572,120,555,111,1108,252,1654,1105,8031
a,1829,845,782,302,878,1863,477,744,818,445,1635,888,321,814,886,2857
a,836,695,714,489,687,1588,642,1411,644,707,947,811,567,1310,812,3524
