class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
a,36,18,36,18,36,6,36,6,23,9,1,3,19,3,5,1,31,24,30,24,31,13,30,12,15,13,4,3,15,5,4,2,31,31,30,30,24,13,24,12,15,15,4,4,13,5,3,2,36,36,36,36,18,6,18,6,23,19,1,5,9,3,3,1,64,13,32,7,40,5,5,0,7,11,0,0,3,2,10,57,57,37,2,4,52,10,2,0,9,0,6,2,4,3,1,67,34,27,36,16,23,10,11,1,10,8,0,0,6,4,4,66,46,39,31,10,16,5,10,1,7,9,0,9,8,2,0,63,37,19,23,9,35,5,23,4,31,20,5,0,18,1,9,17,28,23,19,16,30,13,20,9,25,20,8,5,25,8,5,2,42,27,11,13,30,5,9,6,24,26,2,0,12,0,9,40,35,54,20,10,20,2,10,2,25,10,6,8,19,0,3,32,41,18,13,9,37,6,17,3,36,18,6,3,36,6,6,1,31,25,15,12,31,12,16,7,30,24,4,3,30,12,3,1,31,31,15,16,25,12,12,7,30,30,4,3,24,12,3,1,41,37,13,17,18,6,9,3,36,36,6,6,18,6,3,1
a,44,39,8,10,13,15,4,2,33,36,11,11,12,12,3,3,56,15,16,2,16,22,0,5,54,12,18,3,12,17,4,4,56,16,16,0,15,22,2,5,54,12,18,4,12,17,3,4,44,13,8,4,39,15,10,2,33,12,11,3,36,12,11,3,56,38,27,7,17,10,24,5,9,12,6,16,3,4,0,22,63,14,36,17,14,21,7,7,9,2,6,0,2,3,10,45,70,11,47,5,15,15,7,5,5,2,0,3,1,3,6,61,63,21,9,6,59,13,2,0,4,0,11,1,2,4,1,60,68,41,8,5,10,8,4,3,18,28,9,6,2,2,4,40,81,18,18,4,18,27,4,6,18,4,27,6,4,6,6,9,82,16,14,3,10,16,4,5,30,15,16,3,0,14,6,22,67,18,4,2,30,11,9,2,25,15,14,5,5,6,6,37,36,38,36,35,13,14,12,11,14,11,10,12,3,3,4,4,54,14,54,11,14,20,10,17,18,3,18,4,4,5,4,6,54,14,54,10,14,20,11,17,18,4,18,4,3,5,4,6,36,13,36,12,38,14,35,11,14,3,10,4,11,3,12,4
a,14,31,19,32,34,0,39,0,15,33,0,0,39,0,0,0,14,34,19,39,31,0,32,0,15,39,0,0,33,0,0,0,14,31,19,32,34,0,39,0,15,33,0,0,39,0,0,0,14,34,19,39,31,0,32,0,15,39,0,0,33,0,0,0,32,21,27,9,40,0,26,2,19,34,0,0,17,0,3,26,47,54,9,6,34,0,11,0,10,0,9,9,17,0,0,50,63,30,23,2,17,0,12,4,3,11,4,3,14,0,2,68,67,38,8,3,34,1,6,0,3,2,9,3,4,3,2,73,53,34,6,14,13,0,32,0,24,12,0,3,12,7,0,46,14,34,19,39,31,0,32,0,15,39,0,0,33,0,0,0,55,20,26,8,12,6,11,0,49,0,1,3,4,3,3,55,28,55,21,3,22,0,25,0,27,19,0,4,17,2,0,33,15,33,14,28,37,0,34,0,19,35,0,0,41,0,0,0,15,37,14,34,33,0,28,0,19,41,0,0,35,0,0,0,15,33,14,28,37,0,34,0,19,35,0,0,41,0,0,0,15,37,14,34,33,0,28,0,19,41,0,0,35,0,0,0
a,20,60,20,47,10,0,10,0,16,33,8,20,8,0,4,0,20,10,20,10,60,0,47,0,16,8,8,4,33,0,20,0,20,60,20,47,10,0,10,0,16,33,8,20,8,0,4,0,20,10,20,10,60,0,47,0,16,8,8,4,33,0,20,0,28,44,42,38,9,0,21,3,10,43,0,0,7,0,0,11,30,12,34,10,53,0,39,1,9,4,4,4,22,0,0,34,51,38,40,30,11,0,16,7,3,36,0,0,1,0,7,16,41,20,14,2,79,0,17,0,13,2,14,7,4,4,3,36,46,58,14,13,10,0,8,0,29,24,0,9,10,10,0,25,24,12,16,8,50,0,43,0,24,12,0,0,66,0,0,1,29,67,16,14,10,0,8,0,29,36,0,4,11,6,0,26,31,11,8,7,47,0,32,0,38,21,0,0,26,4,2,29,24,53,20,41,12,0,10,0,16,48,4,18,8,0,2,0,24,12,20,10,53,0,41,0,16,8,4,2,48,0,18,0,24,53,20,41,12,0,10,0,16,48,4,18,8,0,2,0,24,12,20,10,53,0,41,0,16,8,4,2,48,0,18,0
a,36,25,40,41,9,5,13,5,32,27,4,3,9,5,1,1,36,9,40,13,25,5,41,5,32,9,4,1,27,5,3,1,36,25,40,41,9,5,13,5,32,27,4,3,9,5,1,1,36,9,40,13,25,5,41,5,32,9,4,1,27,5,3,1,61,31,39,10,19,2,16,6,9,15,4,6,1,2,4,31,74,19,14,1,39,5,6,1,10,8,10,4,3,2,4,56,77,27,34,11,14,3,5,8,4,11,4,0,6,1,7,44,74,14,10,10,37,1,3,1,8,10,10,3,3,3,6,63,54,39,17,6,10,1,5,1,36,19,6,3,6,7,3,43,42,13,21,5,36,7,16,2,36,11,13,3,38,5,6,2,41,37,17,7,11,4,3,1,34,32,9,1,17,0,0,42,45,11,16,3,30,5,13,2,38,16,5,0,18,1,5,48,29,28,30,25,10,5,8,4,49,40,4,3,13,6,1,1,29,10,30,8,28,5,25,4,49,13,4,1,40,6,3,1,29,28,30,25,10,5,8,4,49,40,4,3,13,6,1,1,29,10,30,8,28,5,25,4,49,13,4,1,40,6,3,1
a,54,36,18,12,36,18,12,6,6,4,18,12,4,2,12,6,54,36,18,12,36,18,12,6,6,4,18,12,4,2,12,6,54,36,18,12,36,18,12,6,6,4,18,12,4,2,12,6,54,36,18,12,36,18,12,6,6,4,18,12,4,2,12,6,74,9,40,12,14,14,4,1,15,5,1,0,12,2,3,50,75,19,18,8,29,4,8,2,9,14,6,3,4,0,4,53,79,11,31,15,21,7,6,4,9,9,1,0,10,1,7,45,51,13,20,22,33,0,16,0,14,9,0,0,9,4,2,63,25,42,16,15,20,0,16,0,35,30,0,0,16,1,0,40,33,23,23,16,24,10,15,8,34,25,0,0,33,8,0,4,28,33,20,16,16,0,12,0,36,28,0,0,15,0,0,52,53,26,7,3,30,5,6,3,31,12,6,2,14,1,1,56,54,36,6,4,36,18,4,2,18,12,18,12,12,6,12,6,54,36,6,4,36,18,4,2,18,12,18,12,12,6,12,6,54,36,6,4,36,18,4,2,18,12,18,12,12,6,12,6,54,36,6,4,36,18,4,2,18,12,18,12,12,6,12,6
a,40,19,28,15,19,26,15,20,22,11,6,3,11,14,3,4,40,19,28,15,19,26,15,20,22,11,6,3,11,14,3,4,40,19,28,15,19,26,15,20,22,11,6,3,11,14,3,4,40,19,28,15,19,26,15,20,22,11,6,3,11,14,3,4,64,9,22,9,29,12,9,9,20,15,3,0,9,7,9,30,45,17,17,11,28,18,9,12,26,13,5,2,6,6,12,29,73,18,21,15,22,9,9,3,9,5,1,2,7,8,9,45,51,20,18,10,34,9,12,2,15,8,5,5,6,7,6,48,29,45,25,25,11,5,17,9,18,26,1,2,10,5,1,27,26,15,38,20,15,18,20,26,30,12,2,1,12,18,1,2,45,10,30,13,13,17,13,17,32,15,2,0,14,11,1,23,55,14,15,12,23,5,9,25,20,18,0,0,16,2,9,33,38,19,22,11,19,26,11,14,30,15,6,3,15,20,3,4,38,19,22,11,19,26,11,14,30,15,6,3,15,20,3,4,38,19,22,11,19,26,11,14,30,15,6,3,15,20,3,4,38,19,22,11,19,26,11,14,30,15,6,3,15,20,3,4
a,31,28,23,17,22,5,15,4,42,35,0,0,27,7,0,0,31,22,23,15,28,5,17,4,42,27,0,0,35,7,0,0,31,28,23,17,22,5,15,4,42,35,0,0,27,7,0,0,31,22,23,15,28,5,17,4,42,27,0,0,35,7,0,0,83,14,16,7,26,3,7,12,10,20,5,7,7,1,10,28,48,27,0,0,36,7,0,0,42,15,6,10,16,7,9,33,82,22,15,8,22,4,0,5,12,6,3,6,10,0,9,52,65,22,3,10,28,1,5,0,24,16,6,1,9,3,7,56,56,44,18,17,18,0,16,2,2,17,18,7,0,1,12,28,51,32,22,18,42,8,21,4,0,0,23,14,0,0,17,4,69,23,20,13,16,8,18,4,6,12,21,6,0,9,10,21,51,21,19,18,33,2,13,4,11,18,12,5,14,0,12,23,32,29,40,31,23,6,25,6,24,20,0,0,16,4,0,0,32,23,40,25,29,6,31,6,24,16,0,0,20,4,0,0,32,29,40,31,23,6,25,6,24,20,0,0,16,4,0,0,32,23,40,25,29,6,31,6,24,16,0,0,20,4,0,0
a,28,30,16,25,30,12,25,10,16,20,4,5,20,8,5,2,28,30,16,25,30,12,25,10,16,20,4,5,20,8,5,2,28,30,16,25,30,12,25,10,16,20,4,5,20,8,5,2,28,30,16,25,30,12,25,10,16,20,4,5,20,8,5,2,50,23,25,13,34,10,16,13,10,15,2,5,5,2,14,19,34,43,15,8,46,16,20,3,6,7,16,10,3,1,0,28,47,26,26,28,29,9,17,3,10,10,1,0,6,3,12,29,48,42,8,1,42,11,8,1,14,8,14,5,5,8,6,35,36,48,12,9,32,7,19,7,16,22,6,6,7,1,8,20,32,40,12,20,40,16,20,8,12,10,8,10,10,4,10,4,49,29,9,17,28,13,17,5,20,16,5,8,6,11,8,15,47,27,4,18,35,7,12,8,18,25,3,1,18,1,11,21,28,32,12,18,32,12,18,8,20,25,4,5,25,10,5,2,28,32,12,18,32,12,18,8,20,25,4,5,25,10,5,2,28,32,12,18,32,12,18,8,20,25,4,5,25,10,5,2,28,32,12,18,32,12,18,8,20,25,4,5,25,10,5,2
a,38,25,22,15,26,14,14,6,28,17,8,7,18,10,6,2,37,32,23,18,20,13,10,7,27,21,9,9,14,9,4,3,37,20,23,10,32,13,18,7,27,14,9,4,21,9,9,3,38,26,22,14,25,14,15,6,28,18,8,6,17,10,7,2,62,16,25,9,25,10,12,11,20,17,3,3,7,4,13,19,59,50,5,3,30,15,12,0,10,5,22,6,4,2,6,27,54,16,26,20,29,6,17,3,19,8,1,2,10,9,9,27,60,39,10,3,36,10,15,0,9,4,15,8,7,2,2,36,45,40,20,8,25,6,18,6,15,26,7,6,8,1,8,17,42,33,25,26,22,14,13,10,17,14,12,7,7,5,6,3,54,17,21,10,22,12,21,4,27,18,10,0,9,8,3,20,50,22,20,12,24,8,12,8,17,23,7,2,24,0,4,23,37,24,23,16,24,12,16,8,27,17,9,7,18,10,6,2,38,30,22,21,18,12,12,8,27,22,9,7,14,9,4,3,38,18,22,12,30,12,21,8,27,14,9,4,22,9,7,3,37,24,23,16,24,12,16,8,27,18,9,6,17,10,7,2
