class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
a,0,0,65,350,0,0,553,3718,8,688,9,2230,454,3536,2261,120817
a,0,0,99,236,1,0,744,3882,10,939,7,2300,315,3697,2415,136676
a,0,0,73,435,3,0,1253,3579,46,1463,18,2975,407,3424,3210,154510
a,0,3,100,580,0,0,1239,4453,13,1300,85,3346,762,4297,3228,240184
a,0,31,99,497,6,6,987,3236,10,1149,79,2524,644,3016,2564,121682
a,0,4,100,685,5,0,872,3374,42,923,255,3150,793,3273,3092,136704
a,3,16,102,656,0,0,1168,4160,39,1271,170,3316,773,4003,3318,199561
a,0,5,102,627,0,0,1062,4034,67,1112,115,3108,697,3949,3093,187691
a,0,6,101,504,5,0,1013,5160,54,1056,158,3458,608,5060,3398,266179
a,0,9,100,685,3,0,1116,4756,38,1127,65,3323,824,4668,3201,245310
a,0,20,98,698,2,0,952,4502,42,968,59,3187,789,4451,3130,222674
a,15,11,77,214,8,0,2101,4978,38,2166,33,3954,258,4908,3978,267782
a,52,42,63,146,3,0,3019,6029,37,2966,72,4644,165,6089,4611,385511
a,0,9,104,490,0,0,1222,3554,14,1356,173,3127,642,3358,3118,162185
a,19,29,58,129,29,0,2833,5279,57,2881,31,3972,153,5208,3996,288366
a,35,21,46,169,27,0,2815,5579,48,2858,42,4104,212,5491,4098,316680
a,61,13,93,152,6,0,2989,5931,46,3019,111,4289,224,5876,4254,369206
a,19,27,45,98,24,0,3213,5509,41,3166,17,4152,142,5516,4064,319123
a,37,4,94,111,44,0,4017,6384,38,4216,23,4431,126,6226,4575,415898
a,22,36,74,141,28,1,2822,5348,52,2832,18,4566,112,5389,4613,332148
a,53,13,47,69,30,0,2522,5421,51,2634,72,3695,98,5276,3761,278758
a,11,4,114,141,30,0,3314,5705,44,3487,79,4489,178,5565,4599,381200
a,25,3,57,135,12,0,3295,4972,60,3321,38,4470,131,4947,4491,275444
a,39,1,100,159,21,0,2955,5616,51,3089,30,4517,150,5540,4640,329501
a,0,2,110,542,12,0,1555,5337,53,1701,28,3625,556,5234,3747,286078
a,16,38,94,395,28,11,1543,4919,60,1603,30,3132,420,4868,3177,244891
a,2,16,77,297,16,0,1719,4993,47,1819,31,3168,255,4965,3310,239385
a,15,16,106,220,24,0,1525,4467,43,1586,17,2844,235,4454,2882,189502
a,16,33,88,393,37,39,1022,4272,8,1111,51,2526,415,4241,2589,153728
a,25,38,81,371,29,10,964,4253,8,1129,4,2648,467,4065,2726,161688
a,0,0,94,408,0,0,1113,4577,7,1220,7,2839,513,4452,2841,213771
a,7,36,85,394,30,76,1057,4735,14,1126,25,2673,468,4663,2674,197697
a,0,0,90,299,0,0,996,4081,24,1216,52,2586,351,3875,2754,161338
a,21,12,109,413,32,3,1113,4108,42,1277,1,2586,499,3925,2644,162567
a,12,0,77,359,3,0,1128,4904,28,1087,6,2907,421,4932,2801,227351
a,33,25,80,377,40,2,1179,5006,48,1198,16,2895,364,5032,2912,229794
a,0,26,79,345,36,8,1365,4422,52,1392,22,2714,387,4380,2689,189108
a,0,12,95,366,5,0,1064,4352,17,1154,40,2860,439,4267,2884,198670
a,0,2,93,385,9,0,945,4626,25,1084,59,2886,449,4491,2954,211912
a,0,0,98,396,2,0,1090,4980,7,1268,27,3213,519,4770,3266,253893
a,0,0,98,263,0,0,1094,4593,29,1290,13,2916,315,4414,3060,204227
a,0,0,94,462,0,0,1145,5283,20,1311,32,3353,540,5113,3441,290570
a,7,0,103,303,3,0,1147,5044,4,1330,25,3353,387,4876,3449,246741
a,0,13,100,451,0,0,1223,3726,23,1375,58,2915,488,3614,3043,165727
a,0,0,79,396,1,0,1310,4365,40,1438,45,3001,453,4219,3071,216807
a,0,0,90,297,6,0,1259,4828,3,1431,9,3242,426,4614,3279,249358
a,0,7,98,520,9,0,1205,4596,6,1371,131,3195,569,4473,3310,238066
a,0,0,104,422,0,0,1376,4698,30,1446,47,3394,494,4630,3392,248809
a,0,19,104,426,5,0,1392,4763,36,1568,41,3311,444,4637,3483,246543
a,0,0,107,497,2,0,1420,4720,44,1553,54,3278,528,4619,3378,242969
a,0,0,79,571,4,0,2121,7015,26,2115,56,5375,772,6873,5164,583701
a,6,0,97,791,0,0,1477,7241,0,1622,35,4904,956,7028,4884,557715
a,0,0,105,800,4,0,1705,6356,5,1844,69,4875,900,6217,4910,486299
a,0,0,105,503,3,0,1798,6684,4,2012,63,4739,600,6474,4853,494168
a,0,0,92,453,0,0,1185,3760,45,1450,110,2943,473,3522,3188,169835
a,0,13,104,824,7,0,1665,7224,3,1812,57,5252,977,7025,5252,579746
a,4,2,108,998,0,0,1595,6645,1,1704,59,5033,1173,6468,4969,499770
a,11,6,101,929,0,0,1540,5973,8,1704,60,4579,976,5855,4702,420448
a,4,8,99,736,3,0,1691,6603,9,1861,101,4842,805,6454,4948,496736
a,2,20,107,728,0,0,1660,6820,14,1783,95,4980,944,6574,4907,514535
a,0,0,101,702,8,0,1469,6700,5,1676,59,4719,821,6470,4799,483696
a,5,0,109,610,3,0,1911,6068,17,2116,134,4882,664,5901,5030,451414
a,12,17,111,629,0,0,2205,5430,24,2382,155,4828,661,5308,4990,401618
a,3,1,98,370,8,0,1308,4501,9,1514,50,3027,438,4316,3158,218855
a,0,0,91,453,2,0,1008,4182,30,1192,70,2709,478,4034,2866,187641
a,10,10,106,291,6,0,1487,3522,41,1582,37,2806,305,3478,2891,152349
a,0,0,91,505,1,0,874,5106,30,1072,111,3158,515,4959,3345,250113
a,0,7,94,518,4,0,879,4583,24,1069,74,2841,593,4388,2959,215256
a,0,0,83,325,0,0,647,3901,13,861,7,2269,439,3643,2369,138324
a,0,13,94,569,0,0,939,5107,22,1084,69,3244,721,4882,3250,265696
a,0,0,87,300,0,0,834,5031,20,1025,31,2936,396,4811,3031,228507
a,0,15,95,481,0,0,981,4423,35,1118,114,2986,536,4291,3083,209371
a,0,2,96,569,18,0,722,4322,41,990,34,2703,575,4103,2949,186277
a,0,6,80,448,6,0,880,4189,34,1004,18,2583,491,4068,2664,178451
a,0,0,90,589,3,0,419,4620,40,638,15,2560,625,4415,2740,193010
a,0,14,91,600,0,0,1076,5153,52,1164,34,3332,742,4962,3292,283640
a,0,0,70,238,1,52,807,4275,15,1059,5,2562,304,4012,2747,164903
a,39,14,57,107,26,0,2280,4415,43,2328,31,3190,124,4364,3209,184077
a,35,28,45,143,36,0,2359,5634,42,2321,15,3589,118,5700,3568,294463
a,30,29,44,97,42,7,2818,6241,41,2764,7,4131,109,6286,4052,376527
a,38,25,57,173,9,0,2748,5269,46,2683,38,3782,147,5371,3759,291699
a,23,21,52,136,25,0,2613,5725,43,2578,59,4072,134,5771,4035,328143
a,28,14,44,155,20,0,2711,5608,54,2696,6,4170,178,5590,4126,322700
a,76,62,35,92,56,11,2521,4059,65,2568,23,2933,133,3941,2945,175402
a,22,18,41,97,51,9,2344,5737,51,2504,32,3489,115,5549,3598,282152
a,26,25,43,127,17,0,2320,5088,48,2340,18,3497,152,5038,3500,240930
a,33,24,19,127,37,0,2161,4688,49,2158,31,3312,129,4659,3294,218889
a,0,0,93,281,3,0,917,3824,10,1136,7,2455,367,3602,2585,146324
a,52,63,31,83,43,16,2886,5851,70,2897,24,3827,127,5757,3814,315515
a,38,53,48,177,32,22,2734,5437,62,2738,29,4260,199,5397,4263,334511
a,6,0,97,455,2,0,1475,5251,21,1698,80,3694,500,5059,3870,304976
a,0,0,92,539,4,0,1521,7052,20,1744,99,4458,608,6832,4608,508979
a,0,0,99,433,2,0,1197,5349,10,1416,39,3400,508,5144,3542,285777
a,0,0,94,476,15,0,1301,4948,25,1435,84,3192,563,4796,3224,253376
a,0,0,96,538,13,0,1281,5254,1,1522,61,3378,608,5038,3536,292274
a,3,0,95,326,27,0,1263,5527,17,1497,24,3339,368,5329,3504,293402
a,4,0,99,324,9,0,1635,5499,13,1823,50,3697,398,5323,3802,311986
a,0,5,98,516,6,0,1138,5221,21,1313,115,3680,623,5016,3747,283205
a,0,6,87,425,3,0,1161,3922,23,1356,33,3000,420,3796,3203,174847
a,0,0,100,517,6,0,1337,4731,11,1563,77,3228,570,4541,3395,256600
a,0,0,98,532,3,0,1190,4885,1,1416,52,3275,642,4646,3388,263961
a,0,0,89,529,14,0,1185,5432,4,1406,28,3372,599,5226,3509,297832
a,0,0,95,550,5,0,1341,5119,10,1604,17,3294,614,4877,3488,288122
a,0,13,99,579,5,0,1475,5275,37,1589,159,4067,658,5144,4110,321946
a,0,8,105,448,4,0,1751,4721,39,1878,140,3814,498,4610,3895,277845
