class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
a,90,28,34,9,26,0,17,0,15,12,0,0,4,0,0,21,81,27,29,6,36,0,6,0,28,8,0,0,12,0,0,23,81,36,36,14,27,0,11,0,27,12,0,0,9,0,0,3,88,23,21,10,33,0,16,0,30,11,0,0,11,0,0,13
a,73,22,41,12,45,0,25,0,16,8,0,0,5,0,0,9,76,40,48,15,25,0,18,0,6,5,0,0,2,0,0,21,70,27,18,4,37,0,15,0,42,25,0,0,12,0,0,6,71,40,17,12,26,0,5,0,45,16,0,0,16,0,0,8
a,83,26,30,14,31,0,22,0,17,16,0,0,7,0,0,10,78,31,45,12,35,0,13,0,10,6,0,0,4,0,0,22,74,36,23,4,30,0,14,0,35,26,0,0,6,0,0,8,79,34,17,5,28,0,13,0,38,17,0,0,11,0,0,14
a,79,28,29,9,35,0,18,0,24,19,0,0,11,0,0,4,82,27,28,17,32,0,19,0,23,16,0,0,9,0,0,3,67,36,37,10,32,0,17,0,27,21,0,0,9,0,0,0,70,36,31,7,32,0,12,0,30,17,0,0,15,0,0,6
a,74,27,43,16,32,0,22,0,15,10,0,0,6,0,0,11,76,28,50,18,33,0,17,0,7,8,0,0,4,0,0,15,63,32,26,6,24,0,16,0,42,28,0,0,15,0,0,4,63,31,20,7,28,0,12,0,41,21,0,0,19,0,0,14
a,43,36,61,22,39,0,19,0,11,9,0,0,6,0,0,10,45,32,57,24,36,0,18,0,12,9,0,0,10,0,0,13,32,34,23,11,26,0,18,0,51,33,0,0,23,0,0,5,43,35,12,11,38,0,5,0,52,21,0,0,23,0,0,16
a,50,37,43,21,40,0,24,0,16,13,0,0,9,0,0,3,53,39,52,21,39,0,17,0,11,8,0,0,6,0,0,10,41,35,25,17,25,0,25,0,37,33,0,0,16,0,0,2,47,31,19,17,34,0,15,0,41,20,0,0,26,0,0,6
a,80,27,26,21,26,0,20,0,27,14,0,0,14,0,0,1,85,26,33,21,25,0,20,0,17,11,0,0,11,0,0,7,71,34,35,12,27,0,23,0,23,22,0,0,6,0,0,3,73,28,30,17,29,0,18,0,29,13,0,0,13,0,0,6
a,55,40,38,20,41,0,22,0,15,11,0,0,10,0,0,4,58,38,43,20,40,0,20,0,12,11,0,0,9,0,0,5,52,40,16,12,36,0,15,0,34,33,0,0,17,0,0,1,54,36,15,10,38,0,10,0,39,23,0,0,30,0,0,1
a,75,30,34,21,29,0,21,0,23,11,0,0,12,0,0,0,75,32,38,22,30,0,20,0,20,8,0,0,10,0,0,1,74,35,26,11,32,0,15,0,28,23,0,0,11,0,0,1,76,33,23,11,33,0,11,0,31,17,0,0,18,0,0,3
a,44,41,32,25,43,0,30,0,9,15,0,0,14,0,0,3,44,40,30,28,42,0,30,0,9,16,0,0,14,0,0,3,34,48,16,18,46,0,21,0,26,23,0,0,22,0,0,2,40,46,13,15,46,0,16,0,32,24,0,0,20,0,0,4
a,57,28,34,19,38,0,33,0,17,20,0,0,9,0,0,1,56,29,40,20,37,0,28,0,16,17,0,0,10,0,0,3,52,33,21,17,34,0,15,0,36,23,0,0,22,0,0,3,46,36,22,18,38,0,12,0,39,21,0,0,24,0,0,0
a,63,33,35,14,30,0,26,0,22,20,0,0,13,0,0,0,64,31,40,24,34,0,19,0,21,9,0,0,14,0,0,0,58,35,27,17,27,0,14,0,35,23,0,0,19,0,0,1,60,25,25,15,36,0,18,0,34,13,0,0,30,0,0,0
a,34,55,30,10,55,0,22,0,1,19,0,0,19,0,0,11,34,56,41,18,54,0,17,0,4,4,0,0,10,0,0,18,30,61,8,11,42,0,28,0,24,33,0,0,12,0,0,7,28,57,5,12,54,0,15,0,29,24,0,0,17,0,0,15
a,42,39,8,1,63,0,26,0,9,46,0,0,22,0,0,0,41,48,22,17,55,0,22,0,8,25,0,0,18,0,0,0,38,55,13,28,51,0,32,0,10,18,0,0,9,0,0,2,41,44,8,42,59,0,27,0,9,5,0,0,21,0,0,0
a,52,29,33,17,40,0,33,0,19,22,0,0,11,0,0,0,50,38,47,20,43,0,24,0,15,12,0,0,7,0,0,0,57,41,22,14,38,0,16,0,29,27,0,0,11,0,0,1,60,41,20,12,37,0,14,0,32,24,0,0,16,0,0,0
a,47,28,31,14,34,0,28,0,27,25,0,0,22,0,0,0,57,34,39,27,30,0,19,0,16,16,0,0,18,0,0,0,61,29,21,21,32,0,21,0,29,19,0,0,20,0,0,3,60,28,19,24,34,0,22,0,28,18,0,0,23,0,0,0
a,72,25,32,8,35,0,28,0,27,19,0,0,10,0,0,0,68,30,37,15,31,0,23,0,27,13,0,0,12,0,0,0,74,30,27,11,34,0,7,0,33,16,0,0,24,0,0,0,74,31,25,14,33,0,13,0,33,13,0,0,20,0,0,0
a,62,33,32,10,43,0,35,0,13,19,0,0,9,0,0,0,63,41,45,30,38,0,21,0,5,6,0,0,7,0,0,0,60,40,14,11,39,0,12,0,35,23,0,0,22,0,0,0,60,39,16,15,38,0,15,0,29,21,0,0,23,0,0,0
a,68,29,41,11,25,0,22,0,35,17,0,0,8,0,0,0,73,19,49,15,34,0,30,0,22,9,0,0,5,0,0,0,73,29,24,9,25,0,5,0,47,14,0,0,27,0,0,3,67,21,36,12,29,0,15,0,41,15,0,0,20,0,0,0
a,74,31,35,9,33,0,26,0,22,15,0,0,11,0,0,0,76,33,44,23,31,0,25,0,13,4,0,0,6,0,0,1,77,31,22,11,31,0,7,0,35,21,0,0,19,0,0,2,75,32,23,10,34,0,5,0,35,22,0,0,20,0,0,0
a,28,53,25,13,63,0,38,0,4,21,0,0,11,0,0,0,31,58,39,26,55,0,26,0,4,7,0,0,10,0,0,0,23,55,6,12,52,0,15,0,31,34,0,0,28,0,0,0,22,54,6,17,52,0,19,0,20,34,0,0,32,0,0,0
a,64,32,35,18,32,0,29,0,21,17,0,0,8,0,0,0,67,31,46,22,36,0,23,0,12,10,0,0,7,0,0,2,71,23,20,20,29,0,14,0,30,15,0,0,32,0,0,2,64,27,21,14,31,0,16,0,33,31,0,0,19,0,0,0
a,40,43,33,18,43,0,29,0,11,20,0,0,19,0,0,0,47,47,37,26,44,0,23,0,10,9,0,0,13,0,0,0,34,39,17,22,43,0,16,0,38,20,0,0,26,0,0,1,36,38,9,25,39,0,24,0,32,25,0,0,26,0,0,2
a,55,30,36,21,41,0,34,0,14,18,0,0,6,0,0,1,57,36,44,22,41,0,24,0,11,10,0,0,5,0,0,6,44,33,24,18,29,0,23,0,35,30,0,0,19,0,0,1,54,30,10,19,32,0,17,0,43,26,0,0,22,0,0,3
a,70,33,37,8,36,0,23,0,23,12,0,0,9,0,0,5,77,29,37,16,31,0,23,0,17,10,0,0,7,0,0,9,77,35,20,6,31,0,13,0,33,27,0,0,10,0,0,4,79,36,14,7,28,0,12,0,37,26,0,0,12,0,0,5
a,68,34,33,9,35,0,19,0,28,14,0,0,13,0,0,3,80,26,38,13,36,0,22,0,15,14,0,0,4,0,0,8,64,36,32,11,34,0,16,0,35,19,0,0,7,0,0,2,77,34,17,16,27,0,16,0,34,24,0,0,9,0,0,2
a,20,36,33,20,43,0,32,0,6,35,0,0,28,0,0,3,23,47,38,23,43,0,24,0,7,17,0,0,21,0,0,13,13,46,10,21,32,0,35,0,30,43,0,0,24,0,0,2,19,50,4,15,36,0,29,0,37,36,0,0,23,0,0,7
a,70,45,30,15,26,0,16,0,21,15,0,0,4,0,0,14,72,21,32,14,51,0,17,0,16,9,0,0,10,0,0,14,62,46,38,31,23,0,15,0,15,15,0,0,10,0,0,1,70,18,22,13,48,0,16,0,26,13,0,0,19,0,0,11
a,69,24,32,20,28,0,20,0,27,20,0,0,16,0,0,0,69,28,29,18,24,0,21,0,31,16,0,0,20,0,0,0,81,31,20,12,22,0,8,0,33,15,0,0,22,0,0,12,75,28,15,10,25,0,11,0,45,12,0,0,15,0,0,20
a,71,25,48,17,32,0,33,0,11,11,0,0,4,0,0,4,66,33,58,23,32,0,21,0,7,4,0,0,5,0,0,7,69,33,13,4,25,0,12,0,50,32,0,0,15,0,0,3,70,28,12,9,32,0,6,0,50,16,0,0,26,0,0,7
