class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255
a,27,12,3,0,6,0,0,0,10,4,0,0,2,0,0,0,35,5,2,1,6,0,0,0,11,2,0,0,2,0,0,0,35,6,2,0,5,0,1,0,11,2,0,0,2,0,0,0,27,6,3,0,12,0,0,0,10,2,0,0,4,0,0,0,31,5,8,3,6,0,0,0,0,0,0,0,1,0,0,10,31,2,6,1,4,0,3,0,5,1,0,0,0,0,0,11,35,5,7,0,5,0,1,0,0,0,0,0,0,0,0,11,30,6,8,0,8,0,0,0,0,0,0,0,0,0,0,12,32,12,4,0,4,0,1,0,7,1,0,0,0,0,0,3,36,6,6,1,6,0,0,0,6,1,0,0,2,0,0,0,36,4,2,0,6,0,0,0,9,0,0,0,0,0,0,7,36,4,3,0,2,0,2,0,7,2,0,0,2,0,0,6,27,12,10,4,6,0,2,0,3,0,0,0,0,0,0,0,34,5,12,2,6,0,2,0,2,1,0,0,0,0,0,0,34,6,12,2,5,0,2,0,2,0,0,0,1,0,0,0,27,6,10,2,12,0,4,0,3,0,0,0,0,0,0,0
a,25,11,5,2,6,0,1,0,10,3,0,0,1,0,0,0,21,10,3,2,10,0,2,0,8,4,0,0,4,0,0,0,21,10,3,2,10,0,2,0,8,4,0,0,4,0,0,0,25,6,5,1,11,0,2,0,10,1,0,0,3,0,0,0,29,7,10,0,7,0,3,0,3,3,0,0,0,0,0,2,21,8,12,3,8,0,0,0,3,0,0,0,2,0,0,7,28,5,6,3,7,0,2,0,0,1,0,0,2,0,0,10,21,2,11,1,5,0,3,0,8,1,0,0,1,0,0,11,33,8,2,1,1,0,1,0,8,3,0,0,1,0,0,6,18,9,8,4,9,0,4,0,6,3,0,0,3,0,0,0,24,11,2,2,8,0,4,0,6,3,0,0,1,0,0,3,29,7,3,0,3,0,4,0,10,3,0,0,0,0,0,5,25,11,10,3,6,0,1,0,5,2,0,0,1,0,0,0,20,10,8,4,10,0,4,0,4,2,0,0,2,0,0,0,20,10,8,4,10,0,4,0,4,2,0,0,2,0,0,0,25,6,10,1,11,0,3,0,5,1,0,0,2,0,0,0
a,36,12,0,0,0,0,0,0,12,4,0,0,0,0,0,0,36,0,0,0,12,0,0,0,12,0,0,0,4,0,0,0,36,12,0,0,0,0,0,0,12,4,0,0,0,0,0,0,36,0,0,0,12,0,0,0,12,0,0,0,4,0,0,0,36,7,11,0,4,0,3,0,0,0,0,0,0,0,0,3,33,4,9,1,4,0,1,0,3,0,0,0,2,0,0,7,35,4,7,0,3,0,3,0,0,2,0,0,0,0,0,10,29,4,9,0,4,0,3,0,3,0,0,0,0,0,0,12,36,6,0,2,0,0,0,0,9,2,0,0,1,0,0,8,36,0,0,0,12,0,0,0,12,0,0,0,4,0,0,0,31,10,1,1,2,0,0,0,7,2,0,0,1,0,0,9,35,3,0,0,6,0,0,0,12,3,0,0,0,0,0,5,36,12,12,4,0,0,0,0,0,0,0,0,0,0,0,0,36,0,12,0,12,0,4,0,0,0,0,0,0,0,0,0,36,12,12,4,0,0,0,0,0,0,0,0,0,0,0,0,36,0,12,0,12,0,4,0,0,0,0,0,0,0,0,0
a,34,11,12,4,0,0,0,0,2,1,0,0,0,0,0,0,34,0,12,0,11,0,4,0,2,0,0,0,1,0,0,0,34,11,12,4,0,0,0,0,2,1,0,0,0,0,0,0,34,0,12,0,11,0,4,0,2,0,0,0,1,0,0,0,38,8,9,0,2,0,4,0,1,2,0,0,0,0,0,0,33,3,7,0,8,0,4,0,5,0,0,0,0,0,0,4,36,7,10,2,5,0,1,0,2,1,0,0,0,0,0,0,34,4,6,0,8,0,3,0,6,0,0,0,0,0,0,3,36,12,2,2,0,0,0,0,10,2,0,0,0,0,0,0,36,0,6,0,12,0,0,0,6,0,0,0,4,0,0,0,36,11,3,0,0,0,0,0,9,4,0,0,0,0,0,1,36,0,2,0,10,0,0,0,9,2,0,0,0,0,0,5,36,11,2,2,0,0,0,0,10,3,0,0,0,0,0,0,36,0,2,0,11,0,2,0,10,0,0,0,3,0,0,0,36,11,2,2,0,0,0,0,10,3,0,0,0,0,0,0,36,0,2,0,11,0,2,0,10,0,0,0,3,0,0,0
a,30,5,6,1,5,0,1,0,12,2,0,0,2,0,0,0,30,5,6,1,5,0,1,0,12,2,0,0,2,0,0,0,30,5,6,1,5,0,1,0,12,2,0,0,2,0,0,0,30,5,6,1,5,0,1,0,12,2,0,0,2,0,0,0,34,1,8,0,8,0,3,0,4,2,0,0,0,0,0,4,30,3,6,0,3,0,3,0,9,3,0,0,0,0,0,7,33,3,10,3,7,0,0,0,2,0,0,0,1,0,0,5,27,2,9,1,5,0,1,0,8,1,0,0,0,0,0,10,33,8,5,2,1,0,1,0,8,1,0,0,1,0,0,4,32,4,10,2,5,0,2,0,6,0,0,0,3,0,0,0,33,8,5,0,2,0,0,0,10,0,0,0,1,0,0,5,34,4,4,0,6,0,0,0,7,0,0,0,0,0,0,9,30,5,12,2,5,0,2,0,6,1,0,0,1,0,0,0,30,5,12,2,5,0,2,0,6,1,0,0,1,0,0,0,30,5,12,2,5,0,2,0,6,1,0,0,1,0,0,0,30,5,12,2,5,0,2,0,6,1,0,0,1,0,0,0
a,32,6,6,1,6,0,1,0,10,1,0,0,1,0,0,0,32,6,6,1,6,0,1,0,10,1,0,0,1,0,0,0,32,6,6,1,6,0,1,0,10,1,0,0,1,0,0,0,32,6,6,1,6,0,1,0,10,1,0,0,1,0,0,0,35,5,6,3,6,0,0,0,3,0,0,0,2,0,0,4,35,4,7,0,5,0,2,0,3,2,0,0,0,0,0,6,39,2,5,4,5,0,0,0,2,0,0,0,3,0,0,4,39,0,0,0,5,0,1,0,7,3,0,0,0,0,0,9,36,9,4,1,0,0,0,0,8,1,0,0,0,0,0,5,37,5,5,1,6,0,0,0,6,1,0,0,3,0,0,0,36,7,4,0,0,0,0,0,8,1,0,0,0,0,0,8,35,1,2,1,7,0,0,0,8,0,0,0,2,0,0,8,28,6,12,2,6,0,2,0,8,0,0,0,0,0,0,0,28,6,12,2,6,0,2,0,8,0,0,0,0,0,0,0,28,6,12,2,6,0,2,0,8,0,0,0,0,0,0,0,28,6,12,2,6,0,2,0,8,0,0,0,0,0,0,0
a,22,12,8,2,12,0,2,0,2,2,0,0,2,0,0,0,22,12,8,2,12,0,2,0,2,2,0,0,2,0,0,0,22,12,8,2,12,0,2,0,2,2,0,0,2,0,0,0,22,12,8,2,12,0,2,0,2,2,0,0,2,0,0,0,31,4,6,4,9,0,3,0,1,2,0,0,3,0,0,1,30,4,2,2,6,0,4,0,8,4,0,0,2,0,0,2,30,8,12,3,6,0,0,0,0,0,0,0,2,0,0,3,30,2,5,0,7,0,2,0,8,3,0,0,0,0,0,7,34,10,0,1,0,0,2,0,11,3,0,0,1,0,0,2,24,10,0,2,10,0,2,0,8,4,0,0,4,0,0,0,25,10,0,1,10,0,1,0,8,3,0,0,3,0,0,3,29,8,0,0,11,0,0,0,12,1,0,0,0,0,0,3,20,10,4,2,10,0,2,0,8,4,0,0,4,0,0,0,20,10,4,2,10,0,2,0,8,4,0,0,4,0,0,0,20,10,4,2,10,0,2,0,8,4,0,0,4,0,0,0,20,10,4,2,10,0,2,0,8,4,0,0,4,0,0,0
a,34,5,2,1,5,0,1,0,12,2,0,0,2,0,0,0,34,5,2,1,5,0,1,0,12,2,0,0,2,0,0,0,34,5,2,1,5,0,1,0,12,2,0,0,2,0,0,0,34,5,2,1,5,0,1,0,12,2,0,0,2,0,0,0,35,2,10,1,9,0,0,0,3,2,0,0,2,0,0,0,36,5,0,0,6,0,0,0,12,2,0,0,2,0,0,1,38,8,4,2,2,0,0,0,3,1,0,0,3,0,0,3,35,5,4,0,6,0,1,0,8,1,0,0,0,0,0,4,33,8,8,2,0,0,1,0,7,2,0,0,0,0,0,3,30,5,12,2,5,0,2,0,6,1,0,0,1,0,0,0,33,7,6,2,2,0,2,0,6,3,0,0,0,0,0,3,33,4,6,0,8,0,0,0,8,1,0,0,1,0,0,3,34,5,10,2,6,0,2,0,4,1,0,0,0,0,0,0,34,6,10,2,5,0,2,0,4,0,0,0,1,0,0,0,34,5,10,2,6,0,2,0,4,1,0,0,0,0,0,0,34,6,10,2,5,0,2,0,4,0,0,0,1,0,0,0
a,36,6,12,2,6,0,2,0,0,0,0,0,0,0,0,0,36,6,12,2,6,0,2,0,0,0,0,0,0,0,0,0,36,6,12,2,6,0,2,0,0,0,0,0,0,0,0,0,36,6,12,2,6,0,2,0,0,0,0,0,0,0,0,0,36,3,12,2,9,0,2,0,0,0,0,0,0,0,0,0,34,5,12,1,5,0,3,0,0,0,0,0,0,0,0,4,36,4,11,4,8,0,0,0,0,0,0,0,0,0,0,1,34,4,12,0,7,0,3,0,0,0,0,0,0,0,0,4,35,9,4,0,1,0,1,0,9,4,0,0,0,0,0,1,34,5,6,1,5,0,1,0,8,2,0,0,2,0,0,0,35,6,4,0,5,0,1,0,9,2,0,0,2,0,0,0,35,4,3,0,8,0,0,0,10,0,0,0,3,0,0,1,36,6,0,0,6,0,0,0,12,2,0,0,2,0,0,0,36,6,0,0,6,0,0,0,12,2,0,0,2,0,0,0,36,6,0,0,6,0,0,0,12,2,0,0,2,0,0,0,36,6,0,0,6,0,0,0,12,2,0,0,2,0,0,0
a,36,0,12,0,12,0,4,0,0,0,0,0,0,0,0,0,30,12,10,4,6,0,2,0,0,0,0,0,0,0,0,0,30,6,10,2,12,0,4,0,0,0,0,0,0,0,0,0,36,12,12,4,0,0,0,0,0,0,0,0,0,0,0,0,34,0,10,1,10,0,1,0,4,0,0,0,4,0,0,0,30,5,4,2,6,0,2,0,10,4,0,0,1,0,0,0,34,3,11,3,9,0,0,0,0,0,0,0,3,0,0,1,34,6,6,0,2,0,4,0,8,4,0,0,0,0,0,0,38,5,5,0,2,0,4,0,5,4,0,0,0,0,0,1,27,10,9,4,5,0,2,0,4,2,0,0,1,0,0,0,29,6,3,1,11,0,2,0,8,2,0,0,1,0,0,1,34,10,7,0,2,0,0,0,7,1,0,0,1,0,0,2,36,0,0,0,12,0,0,0,12,0,0,0,4,0,0,0,30,12,0,0,6,0,0,0,10,4,0,0,2,0,0,0,30,6,0,0,12,0,0,0,10,2,0,0,4,0,0,0,36,12,0,0,0,0,0,0,12,4,0,0,0,0,0,0
