class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
a,41,28,17,10,19,13,13,5,18,13,13,12,9,9,9,27,39,17,17,10,25,18,7,0,19,9,18,9,12,9,12,35,36,24,24,14,18,18,11,12,17,13,18,12,10,8,9,12,40,18,22,10,22,17,15,9,18,10,15,11,9,9,14,17
a,18,13,25,17,22,16,30,17,10,9,11,9,15,12,15,17,21,21,29,23,15,16,15,12,10,15,12,8,9,12,10,28,20,11,12,8,23,18,14,12,22,26,12,10,20,13,18,17,22,18,12,14,9,17,8,12,32,24,12,15,13,20,11,17
a,24,21,14,4,16,14,26,15,15,10,14,18,8,20,10,27,30,14,25,13,12,15,16,15,13,9,8,10,9,19,8,40,19,14,12,8,14,23,9,16,16,27,13,8,10,13,15,39,29,9,13,8,10,16,9,16,28,14,13,11,7,23,15,35
a,11,23,11,20,25,5,36,14,0,37,0,16,29,9,11,9,10,26,16,17,35,6,20,13,0,33,3,15,27,8,15,12,6,23,0,36,25,6,41,12,0,27,0,17,31,13,15,4,6,21,0,37,23,5,36,11,12,30,0,13,24,17,12,9
a,23,28,17,7,24,13,25,15,9,15,7,16,15,12,8,22,24,25,20,13,25,13,21,16,6,15,6,11,16,12,8,25,13,22,8,19,24,17,19,14,5,26,8,15,12,9,24,21,16,15,8,19,16,13,19,14,13,28,11,10,21,13,14,26
a,25,21,18,15,26,28,15,16,4,9,8,10,10,12,10,29,19,27,14,13,31,24,21,11,4,10,8,10,10,13,11,30,10,25,5,12,20,32,11,12,8,33,4,13,22,18,12,19,17,22,4,10,20,26,10,12,16,24,6,13,26,16,8,26
a,27,21,21,8,22,16,12,15,10,12,16,18,8,9,20,21,27,22,24,15,20,14,10,15,10,10,13,14,8,9,19,26,13,17,12,9,14,15,11,9,23,23,16,18,16,14,23,23,17,12,11,9,14,13,8,10,30,21,15,17,21,16,17,25
a,33,21,8,6,19,27,7,13,14,13,17,12,12,21,12,21,36,18,13,10,19,21,6,15,14,12,10,13,10,20,14,25,21,25,15,11,19,30,12,24,6,13,15,14,2,5,15,29,26,17,16,12,16,22,12,24,10,9,12,13,8,17,14,28
a,7,32,11,12,31,24,19,10,0,20,3,21,20,8,19,19,6,34,11,15,34,24,11,8,0,20,7,15,20,8,20,23,2,40,0,12,40,27,12,8,2,21,2,24,10,7,28,21,12,33,0,12,33,20,12,8,5,17,2,25,20,17,25,15
a,28,21,16,10,21,20,11,11,11,11,26,8,7,15,17,23,26,16,20,12,20,23,13,12,12,9,23,12,9,14,11,24,27,20,14,7,17,24,10,16,13,23,21,10,10,15,11,18,27,15,15,10,15,23,8,16,23,13,19,9,15,21,9,18
a,16,11,26,18,11,15,19,29,16,9,11,14,9,18,13,21,16,12,29,12,8,16,21,30,16,9,11,15,9,18,11,23,12,10,20,9,10,23,9,18,20,18,12,12,16,23,12,32,14,11,19,9,12,20,9,18,22,18,12,12,13,24,15,28
a,20,17,15,5,14,19,13,19,12,10,16,19,6,21,18,32,22,11,16,9,19,16,16,18,12,6,18,12,9,21,18,33,21,13,10,10,14,22,7,27,10,22,22,10,11,9,12,36,25,9,10,7,16,25,10,27,12,16,24,10,7,14,16,28
a,20,19,8,11,24,18,20,20,6,15,8,16,13,22,19,17,14,24,14,23,23,20,18,12,5,13,6,12,15,22,17,18,12,18,4,11,18,13,12,21,11,22,9,18,17,22,19,29,16,14,8,12,13,14,12,19,13,19,9,15,21,25,16,30
a,4,26,4,9,24,30,28,40,3,6,3,13,7,20,9,30,14,22,11,19,18,21,23,40,1,7,3,9,8,20,6,34,6,17,1,7,15,39,6,20,0,36,0,4,15,38,12,40,2,15,0,6,15,42,6,20,22,24,4,6,11,31,9,43
a,8,21,3,5,27,49,18,12,0,9,0,15,6,25,16,42,13,21,6,13,31,39,13,17,0,8,1,14,3,20,20,37,9,21,0,9,23,36,9,37,1,14,0,16,13,9,15,44,10,21,3,11,21,36,9,31,5,12,1,12,8,17,17,42
a,16,22,14,19,18,7,19,14,15,30,7,18,19,16,14,8,21,14,19,19,19,8,29,12,15,19,4,8,26,15,16,12,19,19,16,28,15,9,17,16,13,29,9,17,15,14,10,10,22,14,17,17,14,9,27,13,19,21,8,9,20,21,15,10
a,18,9,9,9,10,24,14,15,16,9,21,10,9,30,14,39,23,15,19,16,12,24,9,13,12,9,10,14,6,25,17,32,19,7,13,7,11,16,16,31,14,22,11,11,8,17,17,36,16,8,13,7,11,21,9,35,15,23,13,8,14,7,19,37
a,9,29,7,9,30,25,18,13,0,17,1,20,15,18,22,23,13,26,5,11,27,26,18,17,0,16,1,21,15,18,23,19,9,27,0,13,32,31,13,14,8,17,2,17,16,13,20,24,9,27,0,13,27,28,13,14,7,24,3,15,17,19,18,22
a,7,21,4,15,24,39,25,30,0,6,0,18,5,12,19,31,14,23,14,19,22,36,18,24,0,5,1,19,5,11,20,25,13,22,2,13,28,27,14,29,6,12,3,16,14,13,18,26,13,16,0,16,17,34,16,30,9,21,2,11,6,20,15,30
a,16,10,26,10,11,20,15,16,22,11,22,13,10,16,14,24,26,14,20,10,15,13,17,18,20,11,9,16,14,16,22,15,22,8,23,12,14,9,14,19,28,22,13,9,8,17,13,25,15,9,22,11,9,16,12,20,29,13,21,14,7,23,14,21
a,41,11,15,9,15,29,12,13,14,5,23,10,4,12,13,30,44,13,18,20,15,19,11,17,12,4,17,7,4,12,15,28,36,14,13,4,18,25,4,12,17,16,21,10,11,14,10,31,36,15,13,4,13,26,4,12,17,18,24,8,19,11,6,30
a,9,13,2,11,22,44,20,16,0,15,0,12,6,36,14,36,16,22,5,13,23,47,12,10,3,6,1,17,9,25,19,28,8,24,0,6,26,44,9,33,2,14,0,15,19,10,10,36,1,21,0,9,19,54,11,39,5,18,0,9,10,10,11,39
a,40,23,14,5,10,30,9,16,15,7,23,14,3,14,11,22,48,11,18,12,19,24,7,14,11,4,13,18,8,15,15,19,39,16,14,6,12,27,10,13,9,14,25,9,13,9,17,23,42,9,14,2,15,25,6,15,14,14,26,5,12,21,10,26
a,48,7,22,6,24,25,19,16,9,1,26,6,3,5,16,23,46,20,27,21,14,17,8,19,9,4,17,12,2,5,13,22,45,9,9,2,21,27,5,9,22,12,28,4,17,16,10,20,47,18,9,4,8,28,2,8,23,22,29,10,9,15,4,20
a,24,19,20,10,26,17,17,14,6,6,20,18,6,8,24,21,27,21,15,17,26,16,16,11,4,5,23,16,5,8,22,24,18,22,8,9,17,16,10,8,11,22,20,24,16,3,24,28,24,14,9,8,18,15,9,8,17,19,24,16,16,9,21,29
a,28,14,20,8,14,21,20,12,13,12,20,9,10,18,13,24,28,17,19,9,21,20,10,13,11,10,22,12,9,14,14,27,31,17,14,6,16,20,10,16,13,24,18,12,16,15,10,18,32,14,13,9,16,22,7,14,20,17,16,10,19,15,11,21
a,3,15,18,29,17,6,28,8,0,48,0,6,48,14,9,7,5,21,14,20,29,7,17,5,0,47,2,8,45,12,11,13,5,16,0,42,15,6,43,10,2,36,0,11,46,14,6,4,6,13,0,43,14,6,43,10,30,26,0,6,28,18,8,5
a,6,7,3,16,11,15,26,34,0,15,1,15,11,42,15,39,8,19,5,17,17,17,14,30,0,9,6,14,9,35,16,40,3,9,0,9,6,16,12,40,2,31,0,10,15,40,15,48,7,6,0,11,9,17,12,34,15,19,6,12,18,37,13,40
a,21,22,21,19,24,8,12,7,19,22,7,8,20,14,11,21,22,15,23,19,23,11,16,9,19,20,5,5,22,14,14,19,19,24,19,23,18,13,20,15,12,19,11,13,21,8,11,10,26,12,19,20,21,9,23,15,22,18,11,8,13,12,13,14
a,23,8,20,8,25,16,16,16,17,8,20,8,19,16,20,16,24,23,21,19,7,17,9,19,17,19,19,18,8,14,8,14,33,10,19,3,32,12,11,12,16,18,13,10,18,8,14,27,43,18,13,10,8,16,8,8,20,27,10,12,14,10,13,26
