class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
a,24,17,41,24,20,8,23,6,15,23,1,0,20,7,4,23,11,19,44,25,16,6,27,12,19,21,1,0,23,9,0,23,16,23,22,25,22,6,26,11,21,31,6,3,27,8,4,5,23,18,20,24,14,8,26,8,46,21,1,2,16,12,4,13
a,10,15,43,19,26,6,42,15,12,15,0,5,26,8,5,9,10,26,39,31,16,6,26,8,12,26,5,2,14,8,4,23,14,15,10,15,25,6,26,8,29,40,2,0,36,7,13,10,13,25,10,26,15,6,15,8,35,42,0,4,28,11,6,12
a,41,22,31,16,32,0,20,11,19,28,0,0,21,0,5,10,38,28,36,21,32,0,23,4,10,20,0,2,17,0,3,22,30,35,13,22,26,0,31,0,27,37,0,2,24,1,0,8,29,34,11,22,27,0,24,0,38,33,0,2,17,5,0,14
a,37,33,27,16,30,0,30,7,14,24,2,6,24,0,2,4,37,28,35,23,30,0,31,9,13,22,0,5,20,0,0,3,30,37,16,23,36,0,29,0,17,34,4,2,25,0,3,0,29,36,14,22,37,0,24,0,22,30,4,2,28,0,2,6
a,39,12,51,11,14,9,21,10,28,10,9,6,9,5,7,15,33,13,52,25,13,9,20,6,28,9,9,2,9,5,5,18,35,17,28,7,15,9,9,6,40,31,17,4,16,4,9,9,36,14,25,7,13,10,8,4,52,26,9,3,22,8,4,15
a,49,19,45,24,20,10,24,7,24,5,4,2,5,4,0,14,55,19,38,23,23,10,18,4,23,6,3,0,5,4,9,16,44,25,23,10,20,9,12,8,38,28,11,3,15,2,2,6,44,18,20,10,19,9,9,7,45,20,5,3,30,0,1,16
a,32,29,28,28,30,9,22,8,10,10,6,8,8,5,15,8,30,26,36,34,28,9,21,5,10,10,6,3,9,5,10,14,22,28,12,12,25,8,15,6,28,40,8,6,22,5,11,8,22,24,12,15,23,9,15,6,36,31,6,5,29,11,2,10
a,46,20,21,20,22,0,14,6,33,25,4,6,24,0,13,2,47,23,25,26,19,0,15,4,26,22,4,4,23,0,9,9,29,30,33,25,23,0,31,0,21,21,13,9,9,0,9,3,27,23,33,29,22,0,28,0,29,23,7,6,18,0,5,6
a,47,15,59,21,16,11,25,13,20,9,1,2,8,5,0,4,51,16,48,26,18,12,27,8,19,9,3,1,6,4,2,6,48,18,30,9,15,9,12,8,37,30,7,2,18,7,3,3,45,16,29,10,16,10,8,7,46,23,5,2,27,10,0,2
a,35,22,26,27,19,9,25,10,21,20,7,4,16,8,5,2,36,17,35,25,22,9,29,9,18,16,0,3,20,7,6,4,31,39,19,19,25,11,16,8,21,29,4,8,10,3,8,5,29,25,20,13,33,13,18,7,30,26,2,1,21,6,7,5
