datasets,k=1,presisi,recall,time,k=3,presisi,recall,time,k=5,presisi,recall,time,k=7,presisi,recall,time,k=9,presisi,recall,time
ekstraksi_ciri/radius3resize256zona8.csv,61.01,0.61,0.61,12.28,60.74,0.61,0.61,12.51,62.52,0.63,0.63,12.72,64.42,0.64,0.64,12.99,64.04,0.64,0.64,12.89
ekstraksi_ciri/radius8resize32zona8.csv,59.95,0.6,0.6,11.46,56.99,0.57,0.57,12.15,58.13,0.58,0.58,12.24,57.6,0.58,0.58,12.68,56.69,0.57,0.57,12.39
ekstraksi_ciri/radius5resize32zona8.csv,59.8,0.6,0.6,10.55,57.75,0.58,0.58,10.97,58.39,0.58,0.58,11.18,57.18,0.57,0.57,11.36,56.92,0.57,0.57,11.37
ekstraksi_ciri/radius1resize256zona8.csv,59.76,0.6,0.6,14.52,60.02,0.6,0.6,15.13,62.41,0.62,0.62,15.36,62.11,0.62,0.62,15.51,61.61,0.62,0.62,15.62
ekstraksi_ciri/radius1resize256zona16.csv,59.53,0.6,0.6,62.38,60.82,0.61,0.61,62.81,62.83,0.63,0.63,63.86,63.55,0.64,0.64,63.38,63.85,0.64,0.64,63.92
ekstraksi_ciri/radius4resize32zona8.csv,59.15,0.59,0.59,12.21,57.86,0.58,0.58,12.72,58.16,0.58,0.58,12.7,57.29,0.57,0.57,13.05,56.46,0.56,0.56,13.13
ekstraksi_ciri/radius4resize128zona16.csv,59.11,0.59,0.59,62.06,61.84,0.62,0.62,61.29,64.34,0.64,0.64,61.48,65.44,0.65,0.65,61.77,65.59,0.66,0.66,61.95
ekstraksi_ciri/radius9resize64zona4.csv,59.04,0.59,0.59,3.41,59.57,0.6,0.6,3.51,61.01,0.61,0.61,3.79,60.97,0.61,0.61,3.67,59.49,0.59,0.59,3.69
ekstraksi_ciri/radius6resize32zona8.csv,59,0.59,0.59,11.3,57.9,0.58,0.58,11.57,58.17,0.58,0.58,11.5,57.03,0.57,0.57,12.31,56.54,0.57,0.57,13.24
ekstraksi_ciri/radius7resize32zona8.csv,58.96,0.59,0.59,12.32,57.86,0.58,0.58,12.8,58.47,0.58,0.58,13.16,57.33,0.57,0.57,12.98,57.52,0.58,0.58,13.39
ekstraksi_ciri/radius9resize32zona8.csv,58.89,0.59,0.59,12.35,58.43,0.58,0.58,13.02,57.67,0.58,0.58,13.26,57.45,0.57,0.57,13.35,56.5,0.56,0.56,13.42
ekstraksi_ciri/radius6resize128zona8.csv,58.58,0.59,0.59,14.9,61.69,0.62,0.62,14.84,65.37,0.65,0.65,14.84,65.59,0.66,0.66,14.79,66.69,0.67,0.67,14.78
ekstraksi_ciri/radius8resize64zona4.csv,58.54,0.59,0.59,2.78,58.7,0.59,0.59,2.9,58.89,0.59,0.59,2.94,58.28,0.58,0.58,2.99,57.86,0.58,0.58,2.94
ekstraksi_ciri/radius2resize256zona8.csv,57.33,0.57,0.57,12.04,57.48,0.57,0.57,12.38,59.68,0.6,0.6,12.49,61.01,0.61,0.61,12.69,61.5,0.61,0.61,12.7
ekstraksi_ciri/radius7resize64zona8.csv,56.54,0.57,0.57,14.71,55.32,0.55,0.55,15.21,57.94,0.58,0.58,15.28,58.17,0.58,0.58,15.13,58.2,0.58,0.58,15.35
ekstraksi_ciri/radius5resize128zona8.csv,55.78,0.56,0.56,15.62,55.74,0.56,0.56,16.11,59.95,0.6,0.6,15.8,62.07,0.62,0.62,16.22,61.61,0.62,0.62,16.06
ekstraksi_ciri/radius4resize128zona8.csv,54.15,0.54,0.54,16.67,56.01,0.56,0.56,16.96,59.72,0.6,0.6,17.17,61.61,0.62,0.62,14.83,62.18,0.62,0.62,14.55
ekstraksi_ciri/radius9resize256zona4.csv,52.86,0.53,0.53,2.69,52.25,0.52,0.52,2.83,54.38,0.54,0.54,3.21,55.13,0.55,0.55,3.17,54.98,0.55,0.55,3.11
ekstraksi_ciri/radius7resize64zona4.csv,52.63,0.53,0.53,3.34,52.33,0.52,0.52,3.68,55.1,0.55,0.55,3.73,56.23,0.56,0.56,3.63,56.76,0.57,0.57,3.6
ekstraksi_ciri/radius9resize128zona4.csv,52.14,0.52,0.52,3.07,53.81,0.54,0.54,3.32,56.35,0.56,0.56,3.36,57.26,0.57,0.57,3.27,57.14,0.57,0.57,3.25
ekstraksi_ciri/radius9resize32zona16.csv,52.06,0.52,0.52,53.42,48.31,0.48,0.48,56.17,47.75,0.48,0.48,56.87,46.87,0.47,0.47,56.64,45.89,0.46,0.46,56.74
ekstraksi_ciri/radius7resize32zona16.csv,52.06,0.52,0.52,52.22,48.09,0.48,0.48,54.38,47.4,0.47,0.47,55.34,46.84,0.47,0.47,55.34,45.51,0.46,0.46,55.39
ekstraksi_ciri/radius8resize32zona16.csv,51.88,0.52,0.52,46.32,48.24,0.48,0.48,47.76,47.18,0.47,0.47,47.24,47.1,0.47,0.47,47.54,46.68,0.47,0.47,47.92
ekstraksi_ciri/radius6resize64zona8.csv,51.72,0.52,0.52,15.31,51.27,0.51,0.51,15.61,54.38,0.54,0.54,15.54,56.99,0.57,0.57,15.67,56.95,0.57,0.57,15.78
ekstraksi_ciri/radius9resize32zona4.csv,51.72,0.52,0.52,1.98,50.78,0.51,0.51,2.19,51.16,0.51,0.51,2.23,51.61,0.52,0.52,2.32,51.88,0.52,0.52,2.37
ekstraksi_ciri/radius3resize32zona16.csv,51.54,0.52,0.52,45.69,48.46,0.48,0.48,47.37,48.09,0.48,0.48,47.63,46.38,0.46,0.46,48.29,45.13,0.45,0.45,58.07
ekstraksi_ciri/radius8resize32zona4.csv,51.46,0.51,0.51,1.68,50.28,0.5,0.5,1.84,52.71,0.53,0.53,1.96,50.89,0.51,0.51,1.99,50.82,0.51,0.51,2.07
ekstraksi_ciri/radius5resize32zona16.csv,51.42,0.51,0.51,53.72,47.63,0.48,0.48,55.83,47.75,0.48,0.48,56.48,47.52,0.48,0.48,57.01,46,0.46,0.46,56.67
ekstraksi_ciri/radius2resize32zona16.csv,51.38,0.51,0.51,47.72,47.6,0.48,0.48,53.67,47.82,0.48,0.48,59.73,46.61,0.47,0.47,59.46,46.57,0.47,0.47,59.66
ekstraksi_ciri/radius4resize32zona16.csv,51.35,0.51,0.51,52.13,48.16,0.48,0.48,51.67,47.44,0.47,0.47,54.05,46.46,0.46,0.46,55.09,45.66,0.46,0.46,61.37
ekstraksi_ciri/radius6resize32zona16.csv,51.12,0.51,0.51,56.2,47.52,0.48,0.48,58.13,47.59,0.48,0.48,58.63,47.14,0.47,0.47,59.31,45.62,0.46,0.46,59.47
ekstraksi_ciri/radius5resize64zona8.csv,51.08,0.51,0.51,12.69,52.52,0.53,0.53,12.84,55.44,0.55,0.55,12.68,56.8,0.57,0.57,12.94,57.67,0.58,0.58,12.92
